District,SC Disbursement No.,Amt.,Outstanding No.,Amt.,ST Disbursement No.,Amt.,Outstanding No.,Amt.
Araria,8481,121.07,46197,518.68,13148,21.7,25659,73.35
Arwal,1148,18.74,16100,159.5,172,2.2,1319,10.43
Aurangabad,10665,136.51,96129,840.7,1536,13.38,10156,61.2
Banka,4261,59.12,36262,290.53,1038,13.22,9951,80.57
Begusarai,13241,207.81,101747,873.36,1684,18.31,12769,74.4
Bhagalpur,8659,164.36,64083,795.64,2649,45.37,14159,229.38
Bhojpur,22317,158.49,194951,752.48,7580,38.75,63582,180.24
Buxar,4266,57.81,40777,326.88,776,7.52,6894,43.04
Darbhanga,32666,318.56,168244,1128.22,87400,100.21,108546,184.28
Gaya,77403,484.48,561464,2288.82,20955,104.2,172409,712.13
Gopalganj,14366,108.64,74376,416.92,32728,42.96,55679,103.73
Jamui,6631,91.4,59699,484.82,996,13.77,9620,79.08
Jehanabad,1983,39.29,19274,197.22,289,3.9,6092,108.74
Kaimur (Bhabua),6592,92.93,57729,493.6,930,8.47,6033,46.19
Katihar,16298,148.64,60482,580.38,16509,52.54,29658,199.16
Khagaria,4797,73.21,22769,278.66,588,7.63,2554,29.57
Kishanganj,9698,97.16,36357,338.08,7847,19.61,16395,71.19
Lakhisarai,3105,43.12,23008,209.24,450,4.58,2665,18.8
Madhepura,7874,101.35,49215,451.39,22844,18.8,37909,49.94
Madhubani,17113,150.44,83685,657.41,117378,72.01,124753,88.13
Munger,3789,86.12,35730,442.51,460,11.05,3800,64.53
Muzaffarpur,39624,336.69,249601,1550.37,71238,73.11,104010,179.59
Nalanda,9517,139.96,96490,846.75,676,7.67,8395,54.31
Nawada,7476,85.2,82582,626.89,705,6.89,7264,44.75
Pashchim Champaran,62301,226.08,134652,807.21,35740,72.12,70053,209.09
Patna,174523,1261.3,1080632,5526.94,39053,219.24,253424,841.76
Purbi Champaran,27840,244.35,160583,1067.13,34224,71.11,82552,224.24
Purnia,17344,146.52,76551,618.27,24063,53.34,52979,207.99
Rohtas,8673,134.54,75515,2290.3,1244,13.64,9113,71
Saharsa,7416,89.39,40509,402.77,18395,19.68,28947,68.54
Samastipur,19352,234.02,134228,1088.19,2541,27.3,24401,147.55
Saran,33716,288.2,145137,988.92,38600,67.41,61601,171.11
Sheikhpura,2063,31.18,23132,203.34,209,3.3,2505,17.81
Sheohar,1440,23.22,9457,97.08,8494,4.62,13592,8.71
Sitamarhi,6806,101.04,42391,411.16,16105,19.21,22025,44.36
Siwan,83136,443.17,603619,1791.42,67755,168.07,275916,618.44
Supaul,6545,88.74,27978,391.07,33398,33.66,42317,64.29
Vaishali,173179,837.82,1389004,3613.24,105106,292.4,564883,1222.93
