district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1087,16.45,819,16.45,75.34,16.45
Arwal,575,2.07,57,2.07,9.91,2.07
Aurangabad,1881,1.84,152,1.84,8.08,1.84
Banka,543,7.87,85,7.87,15.65,7.87
Begusarai,2824,1.71,194,1.71,6.87,1.71
Bhagalpur,824,15.13,517,15.13,62.74,15.13
Bhojpur,1499,2.55,174,2.55,11.61,2.55
Buxar,825,0.98,19,0.98,2.30,0.98
Darbhanga,1358,5.33,246,5.33,18.11,5.33
Gaya,2047,5.41,413,5.41,20.18,5.41
Gopalganj,1468,4.59,215,4.59,14.65,4.59
Jamui,446,4.81,85,4.81,19.06,4.81
Jehanabad,449,1.97,24,1.97,5.35,1.97
Kaimur (Bhabua),1398,0.60,37,0.60,2.65,0.60
Katihar,2931,13.88,1864,13.88,63.60,13.88
Khagaria,1096,4.33,181,4.33,16.51,4.33
Kishanganj,471,18.29,425,18.29,90.23,18.29
Lakhisarai,509,3.36,67,3.36,13.16,3.36
Madhepura,677,4.97,101,4.97,14.92,4.97
Madhubani,2432,12.54,682,12.54,28.04,12.54
Munger,922,2.87,151,2.87,16.38,2.87
Muzaffarpur,2455,5.54,504,5.54,20.53,5.54
Nalanda,1585,5.35,337,5.35,21.26,5.35
Nawada,418,9.44,122,9.44,29.19,9.44
Pashchim Champaran,2047,2.34,221,2.34,10.80,2.34
Patna,1163,13.21,468,13.21,40.24,13.21
Purbi Champaran,1896,3.93,393,3.93,20.73,3.93
Purnia,1862,15.73,1073,15.73,57.63,15.73
Rohtas,1508,3.91,309,3.91,20.49,3.91
Saharsa,349,23.64,409,23.64,117.19,23.64
Samastipur,3355,1.89,288,1.89,8.58,1.89
Saran,3771,2.82,473,2.82,12.54,2.82
Sheikhpura,566,2.05,14,2.05,2.47,2.05
Sheohar,546,4.44,143,4.44,26.19,4.44
Sitamarhi,1560,2.09,143,2.09,9.17,2.09
Siwan,4344,2.10,294,2.10,6.77,2.10
Supaul,475,12.16,223,12.16,46.95,12.16
Vaishali,4359,1.97,193,1.97,4.43,1.97
