district,shishu_loans_up_to_rs_50_000_total_outstanding_as_of_quarter,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_total_outstandi,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_to_rs_10_00_lakh_total_outstanding,amt,out_of_which_under_npa_no,amt,total_loans_up_to_rs_10_00_lakh_total_outstanding_as_of_quar,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Araria,122569,6.23,20559,6.23,118498,6.23,20559,6.23,5018,6.23,20559,6.23,246085,6.23,20559,6.23,8.35,6.23
Arwal,16641,14.12,3360,14.12,10047,14.12,3360,14.12,1071,14.12,3360,14.12,27759,14.12,3360,14.12,12.10,14.12
Aurangabad,59364,14.30,17574,14.30,44272,14.30,17574,14.30,3038,14.30,17574,14.30,106674,14.30,17574,14.30,16.47,14.30
Banka,67901,8.03,13275,8.03,50037,8.03,13275,8.03,1807,8.03,13275,8.03,119745,8.03,13275,8.03,11.09,8.03
Begusarai,154308,8.11,32063,8.11,150849,8.11,32063,8.11,4212,8.11,32063,8.11,309369,8.11,32063,8.11,10.36,8.11
Bhagalpur,119492,6.47,18183,6.47,116211,6.47,18183,6.47,5094,6.47,18183,6.47,240797,6.47,18183,6.47,7.55,6.47
Bhojpur,52216,14.42,13809,14.42,43308,14.42,13809,14.42,3083,14.42,13809,14.42,98607,14.42,13809,14.42,14.00,14.42
Buxar,42101,17.38,12136,17.38,35304,17.38,12136,17.38,2323,17.38,12136,17.38,79728,17.38,12136,17.38,15.22,17.38
Darbhanga,134217,6.54,27870,6.54,133301,6.54,27870,6.54,7940,6.54,27870,6.54,275458,6.54,27870,6.54,10.12,6.54
Gaya,182698,13.66,29891,13.66,175902,13.66,29891,13.66,6775,13.66,29891,13.66,365375,13.66,29891,13.66,8.18,13.66
Gopalganj,82552,7.32,20196,7.32,77804,7.32,20196,7.32,5032,7.32,20196,7.32,165388,7.32,20196,7.32,12.21,7.32
Jamui,58224,9.16,9494,9.16,52660,9.16,9494,9.16,1715,9.16,9494,9.16,112599,9.16,9494,9.16,8.43,9.16
Jehanabad,25095,15.02,6335,15.02,24563,15.02,6335,15.02,1550,15.02,6335,15.02,51208,15.02,6335,15.02,12.37,15.02
Kaimur (Bhabua),36273,14.36,9722,14.36,32979,14.36,9722,14.36,1730,14.36,9722,14.36,70982,14.36,9722,14.36,13.70,14.36
Katihar,108007,4.69,14904,4.69,121603,4.69,14904,4.69,5452,4.69,14904,4.69,235062,4.69,14904,4.69,6.34,4.69
Khagaria,76797,11.54,22316,11.54,56703,11.54,22316,11.54,1881,11.54,22316,11.54,135381,11.54,22316,11.54,16.48,11.54
Kishanganj,64188,3.98,6577,3.98,89224,3.98,6577,3.98,2237,3.98,6577,3.98,155649,3.98,6577,3.98,4.23,3.98
Lakhisarai,25617,7.58,5789,7.58,26176,7.58,5789,7.58,1041,7.58,5789,7.58,52834,7.58,5789,7.58,10.96,7.58
Madhepura,70233,7.27,13620,7.27,61537,7.27,13620,7.27,3195,7.27,13620,7.27,134965,7.27,13620,7.27,10.09,7.27
Madhubani,143230,6.23,25767,6.23,106219,6.23,25767,6.23,14184,6.23,25767,6.23,263633,6.23,25767,6.23,9.77,6.23
Munger,48762,11.56,11070,11.56,41107,11.56,11070,11.56,2080,11.56,11070,11.56,91949,11.56,11070,11.56,12.04,11.56
Muzaffarpur,346232,9.28,52558,9.28,176730,9.28,52558,9.28,12290,9.28,52558,9.28,535252,9.28,52558,9.28,9.82,9.28
Nalanda,61658,13.80,12645,13.80,55650,13.80,12645,13.80,4291,13.80,12645,13.80,121599,13.80,12645,13.80,10.40,13.80
Nawada,59417,9.70,11687,9.70,55679,9.70,11687,9.70,3057,9.70,11687,9.70,118153,9.70,11687,9.70,9.89,9.70
Pashchim Champaran,151856,8.03,39981,8.03,118699,8.03,39981,8.03,7070,8.03,39981,8.03,277625,8.03,39981,8.03,14.40,8.03
Patna,715823,9.78,74089,9.78,232481,9.78,74089,9.78,17230,9.78,74089,9.78,965534,9.78,74089,9.78,7.67,9.78
Purbi Champaran,134344,9.36,39775,9.36,119802,9.36,39775,9.36,9480,9.36,39775,9.36,263626,9.36,39775,9.36,15.09,9.36
Purnia,102660,6.05,18082,6.05,118418,6.05,18082,6.05,7946,6.05,18082,6.05,229024,6.05,18082,6.05,7.90,6.05
Rohtas,102842,16.56,26732,16.56,66808,16.56,26732,16.56,4803,16.56,26732,16.56,174453,16.56,26732,16.56,15.32,16.56
Saharsa,65175,9.09,15635,9.09,58847,9.09,15635,9.09,2731,9.09,15635,9.09,126753,9.09,15635,9.09,12.34,9.09
Samastipur,185487,8.35,36175,8.35,162313,8.35,36175,8.35,5035,8.35,36175,8.35,352835,8.35,36175,8.35,10.25,8.35
Saran,143950,8.63,36217,8.63,131704,8.63,36217,8.63,12040,8.63,36217,8.63,287694,8.63,36217,8.63,12.59,8.63
Sheikhpura,15631,10.01,2490,10.01,12497,10.01,2490,10.01,1062,10.01,2490,10.01,29190,10.01,2490,10.01,8.53,10.01
Sheohar,15580,13.27,5102,13.27,11726,13.27,5102,13.27,846,13.27,5102,13.27,28152,13.27,5102,13.27,18.12,13.27
Sitamarhi,91763,8.95,23698,8.95,81375,8.95,23698,8.95,5643,8.95,23698,8.95,178781,8.95,23698,8.95,13.26,8.95
Siwan,131888,6.79,22604,6.79,102910,6.79,22604,6.79,6049,6.79,22604,6.79,240847,6.79,22604,6.79,9.39,6.79
Supaul,40767,7.69,13005,7.69,45337,7.69,13005,7.69,4154,7.69,13005,7.69,90258,7.69,13005,7.69,14.41,7.69
Vaishali,160451,7.53,32845,7.53,146917,7.53,32845,7.53,9139,7.53,32845,7.53,316507,7.53,32845,7.53,10.38,7.53
