district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,59,2.98,16,2.57,242,41.48,2430,95.27,28958,727.25,31705,869.55
Arwal,9,0.29,1,0.10,51,8.22,804,41.40,5034,132.24,5899,182.25
Aurangabad,50,1.80,7,1.23,355,44.28,2516,131.15,15346,484.92,18274,663.38
Banka,30,1.35,6,0.53,127,14.87,1310,57.23,11417,373.89,12890,447.87
Begusarai,334,30.76,34,5.64,842,137.71,5087,239.10,40777,1094.87,47074,1508.08
Bhagalpur,51,15.37,58,6.69,1265,230.80,4620,258.15,39967,1388.78,45961,1899.79
Bhojpur,38,1.98,12,1.04,718,117.63,3489,179.39,29016,769.69,33273,1069.73
Buxar,74,4.17,9,0.98,281,35.69,2258,109.18,14173,397.51,16795,547.53
Darbhanga,53,2.67,44,6.43,924,164.46,5465,296.62,40088,1001.31,46574,1471.49
Gaya,45,3.10,284,23.32,1520,224.84,6242,357.91,56287,1684.06,64378,2293.23
Gopalganj,48,3.10,10,1.10,257,38.12,3694,159.08,19012,538.39,23021,739.79
Jamui,9,1.41,1,0.12,127,22.16,1316,89.90,13583,401.91,15036,515.50
Jehanabad,3,0.04,4,0.33,223,29.91,1596,79.24,11533,261.32,13359,370.84
Kaimur (Bhabua),26,4.17,5,0.72,182,26.06,1419,79.60,9105,321.44,10737,431.99
Katihar,229,3.02,21,1.94,616,87.32,3086,165.36,41237,849.16,45189,1106.80
Khagaria,48,2.07,2,0.17,136,31.61,1993,89.04,13575,351.78,15754,474.67
Kishanganj,45,2.33,12,0.92,206,29.74,1537,60.67,18684,479.51,20484,573.17
Lakhisarai,23,0.40,3,0.24,94,16.51,1102,51.36,8394,232.67,9616,301.18
Madhepura,44,2.44,6,0.63,163,25.90,1475,80.09,13789,417.87,15477,526.93
Madhubani,86,4.19,25,3.50,407,58.30,3991,200.73,29352,750.16,33861,1016.88
Munger,13,0.27,7,1.52,190,34.47,2540,135.79,16456,513.83,19206,685.88
Muzaffarpur,93,8.63,89,11.66,1638,271.44,9599,513.19,83827,3498.08,95246,4303.00
Nalanda,59,2.94,23,2.35,553,94.06,3363,172.98,30708,734.34,34706,1006.67
Nawada,47,1.47,11,1.22,323,52.43,2068,102.88,20678,410.81,23127,568.81
Pashchim Champaran,101,8.69,23,3.10,455,53.35,4389,219.07,27020,948.85,31988,1233.06
Patna,262,58.75,597,86.42,10895,2286.10,31694,1916.00,300220,24596.43,343668,28943.70
Purbi Champaran,134,7.97,16,2.61,529,84.08,6246,304.58,56633,1357.63,63558,1756.87
Purnia,91,5.91,30,4.83,1165,174.77,3317,173.25,41553,1117.41,46156,1476.17
Rohtas,35,1.48,12,1.78,444,60.93,3391,172.39,24472,722.26,28354,958.84
Saharsa,51,2.58,16,2.81,329,54.16,1848,111.26,13491,457.20,15735,628.01
Samastipur,71,16.14,20,2.37,650,104.75,6079,366.20,40932,945.19,47752,1434.65
Saran,55,2.33,13,2.09,546,76.45,5107,249.33,37319,932.36,43040,1262.56
Sheikhpura,28,0.37,2,0.11,89,16.58,706,36.91,4576,169.08,5401,223.05
Sheohar,55,10.27,1,0.20,46,5.13,784,35.94,3035,89.09,3921,140.63
Sitamarhi,267,60.58,33,3.42,340,47.95,3494,162.94,21170,550.85,25304,825.74
Siwan,40,2.37,21,2.67,545,72.42,4421,205.37,47558,897.71,52585,1180.54
Supaul,53,3.59,7,1.17,181,28.23,1785,94.95,14754,562.77,16780,690.71
Vaishali,83,4.42,23,3.11,737,120.44,5586,265.27,83562,909.95,89991,1303.19
