district,no_of_kcc_issued_during_quarter_including_renewal,amount_disbursed_during_quarter,total_no_of_kcc_as_on_end_of_current_quarter,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_number_of_rupay_card_issued,kcc_card_activated,no_of_kcc_issued_during_fin_year_including_renewal,amount_disbursed_fin_year
Araria,10542,140.64,114679,852.50,63598,6062.00,31255,354.78
Arwal,509,4.73,17728,97.17,1417,6754.00,1149,10.72
Aurangabad,2780,34.99,91502,605.01,25540,29610.00,9071,99.54
Banka,2539,27.19,69904,379.50,10490,2690.00,7470,62.23
Begusarai,10077,106.75,169305,993.31,30078,5506.00,31854,270.02
Bhagalpur,6653,92.57,97840,622.03,16448,2146.00,17731,208.74
Bhojpur,3120,33.94,72907,449.43,3598,19230.00,7280,70.60
Buxar,2091,33.99,72471,551.39,7730,20647.00,6431,82.57
Darbhanga,18720,119.27,90140,568.13,49368,2467.00,41276,253.99
Gaya,4567,68.77,125083,775.29,28161,24540.00,13836,151.52
Gopalganj,16787,136.27,131266,1044.76,75768,6962.00,34855,278.50
Jamui,4182,58.70,87339,620.52,5769,2272.00,10416,103.92
Jehanabad,957,19.53,24268,178.24,1829,7308.00,2364,43.64
Kaimur (Bhabua),2840,58.21,65051,506.64,12511,13748.00,8625,167.05
Katihar,10299,98.81,96334,796.03,52500,8464.00,27186,269.38
Khagaria,6951,53.06,76307,545.79,20743,1947.00,18812,137.39
Kishanganj,9116,90.73,81898,644.45,47196,2962.00,25000,214.20
Lakhisarai,1834,24.27,48219,342.77,2885,696.00,4604,49.63
Madhepura,5875,54.84,62874,486.21,44135,4597.00,17446,149.98
Madhubani,18676,145.18,186982,1181.79,100197,8803.00,45635,317.35
Munger,2745,35.53,49469,291.68,5470,2027.00,5773,62.09
Muzaffarpur,30511,226.60,194516,1410.81,91069,7396.00,68258,525.74
Nalanda,3386,37.63,98989,594.11,13370,24908.00,7863,88.53
Nawada,4210,63.97,85839,562.77,4933,21850.00,9753,119.69
Pashchim Champaran,23477,197.57,184552,1369.30,92741,2556.00,60010,507.27
Patna,3215,68.66,91399,677.67,14389,20005.00,9291,182.37
Purbi Champaran,28754,258.17,264658,1939.22,131689,17199.00,74163,635.05
Purnia,16485,208.97,133422,1113.42,70214,8729.00,40788,506.90
Rohtas,4058,65.47,104914,821.39,13928,30203.00,10947,177.60
Saharsa,7689,86.39,71082,568.49,42281,3249.00,19215,194.09
Samastipur,15865,181.99,214196,1377.71,50738,10317.00,46657,415.32
Saran,14815,129.79,92210,815.50,47782,5667.00,29430,253.97
Sheikhpura,1746,26.86,30924,220.01,2160,1012.00,3910,54.58
Sheohar,3987,40.19,29045,197.16,14602,1065.00,9209,92.55
Sitamarhi,12783,108.23,116213,820.98,61168,3947.00,33118,260.92
Siwan,10920,87.00,99275,791.69,62436,4383.00,29560,236.04
Supaul,8407,75.50,76153,687.33,46837,7067.00,20556,181.72
Vaishali,24406,246.46,137456,1087.03,82972,12503.00,49488,521.10
