district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,67,386.01,39463,386.01,10,386.01,14,386.01,0,386.01,36,386.01,39590,386.01
Arwal,28,14.07,2293,14.07,2,14.07,6,14.07,0,14.07,12,14.07,2341,14.07
Aurangabad,61,70.93,8251,70.93,13,70.93,27,70.93,0,70.93,49,70.93,8401,70.93
Banka,27,47.85,5616,47.85,2,47.85,8,47.85,1,47.85,31,47.85,5685,47.85
Begusarai,80,164.06,15900,164.06,483,164.06,16,164.06,2,164.06,40,164.06,16521,164.06
Bhagalpur,225,232.34,22666,232.34,163,232.34,27,232.34,2,232.34,32,232.34,23115,232.34
Bhojpur,159,108.88,18545,108.88,107,108.88,25,108.88,0,108.88,32,108.88,18868,108.88
Buxar,13,34.99,6903,34.99,10,34.99,8,34.99,10,34.99,33,34.99,6977,34.99
Darbhanga,141,228.51,21257,228.51,252,228.51,31,228.51,1,228.51,20,228.51,21702,228.51
Gaya,1613,354.69,48215,354.69,5132,354.69,337,354.69,59,354.69,104,354.69,55460,354.69
Gopalganj,46,128.33,9072,128.33,24,128.33,18,128.33,0,128.33,17,128.33,9177,128.33
Jamui,113,58.23,9171,58.23,5,58.23,11,58.23,0,58.23,22,58.23,9322,58.23
Jehanabad,1,27.20,3200,27.20,0,27.20,3,27.20,0,27.20,4,27.20,3208,27.20
Kaimur (Bhabua),25,45.25,6839,45.25,26,45.25,4,45.25,1,45.25,77,45.25,6972,45.25
Katihar,362,447.41,45733,447.41,17,447.41,92,447.41,0,447.41,19,447.41,46223,447.41
Khagaria,21,43.44,4794,43.44,7,43.44,16,43.44,1,43.44,36,43.44,4875,43.44
Kishanganj,241,559.26,56530,559.26,17,559.26,16,559.26,0,559.26,25,559.26,56829,559.26
Lakhisarai,5,12.25,2584,12.25,1,12.25,5,12.25,1,12.25,10,12.25,2606,12.25
Madhepura,25,64.98,7405,64.98,11,64.98,12,64.98,1,64.98,14,64.98,7468,64.98
Madhubani,43,174.37,15100,174.37,16,174.37,25,174.37,0,174.37,10,174.37,15194,174.37
Munger,197,46.80,4260,46.80,5,46.80,21,46.80,1,46.80,18,46.80,4502,46.80
Muzaffarpur,205,313.02,32872,313.02,385,313.02,60,313.02,1,313.02,53,313.02,33576,313.02
Nalanda,146,72.86,10552,72.86,106,72.86,21,72.86,1,72.86,35,72.86,10861,72.86
Nawada,339,62.44,9904,62.44,34,62.44,7,62.44,0,62.44,103,62.44,10387,62.44
Pashchim Champaran,146,213.84,17641,213.84,30,213.84,56,213.84,0,213.84,26,213.84,17899,213.84
Patna,555,888.72,121610,888.72,1104,888.72,207,888.72,6,888.72,83,888.72,123565,888.72
Purbi Champaran,104,393.67,37460,393.67,349,393.67,64,393.67,3,393.67,58,393.67,38038,393.67
Purnia,246,588.56,49217,588.56,95,588.56,29,588.56,1,588.56,37,588.56,49625,588.56
Rohtas,315,84.39,10682,84.39,13,84.39,134,84.39,0,84.39,33,84.39,11177,84.39
Saharsa,44,93.34,9222,93.34,11,93.34,11,93.34,0,93.34,2,93.34,9290,93.34
Samastipur,68,145.02,14597,145.02,42,145.02,61,145.02,0,145.02,114,145.02,14882,145.02
Saran,65,117.36,10405,117.36,42,117.36,31,117.36,2,117.36,28,117.36,10573,117.36
Sheikhpura,72,13.29,1915,13.29,13,13.29,2,13.29,0,13.29,7,13.29,2009,13.29
Sheohar,2,18.21,1771,18.21,3,18.21,9,18.21,1,18.21,8,18.21,1794,18.21
Sitamarhi,26,120.44,10268,120.44,26,120.44,39,120.44,0,120.44,14,120.44,10373,120.44
Siwan,444,437.73,67502,437.73,172,437.73,9,437.73,0,437.73,21,437.73,68148,437.73
Supaul,42,80.35,7384,80.35,9,80.35,23,80.35,1,80.35,12,80.35,7471,80.35
Vaishali,284,663.21,153153,663.21,82,663.21,38,663.21,2,663.21,44,663.21,153603,663.21
