District,Disbursement No.,Amt.,Outstanding No.,Amt.
Araria,16227,264.9,84507,541.8
Arwal,2797,21.44,13371,47.52
Aurangabad,17504,155.98,59614,292.22
Banka,14421,137.33,51020,262.41
Begusarai,36534,508.23,158447,927.24
Bhagalpur,18258,232.32,105253,500.73
Bhojpur,12898,101.38,46422,185.15
Buxar,10778,95.42,40846,181.94
Darbhanga,59404,497.04,266098,1057
Gaya,33156,317.94,103417,521.86
Gopalganj,33640,266.47,133118,540.25
Jamui,14385,173.47,38925,245.55
Jehanabad,1879,32.41,17592,83.89
Kaimur (Bhabua),13566,116.4,33744,187.75
Katihar,41658,397.8,162613,746.94
Khagaria,12138,181.31,50514,351.06
Kishanganj,7632,173.42,29413,287
Lakhisarai,6798,55.79,25595,109.58
Madhepura,15598,204.05,71254,473.45
Madhubani,26897,417.29,124547,811.41
Munger,8596,113.85,27802,177.64
Muzaffarpur,48063,601.01,245872,1562.64
Nalanda,13791,124.26,52865,231.02
Nawada,15095,155.15,42188,239.73
Pashchim Champaran,37903,357.89,148722,722.26
Patna,81675,850.82,517830,3191.58
Purbi Champaran,79081,606.72,262989,1117.02
Purnia,16145,209.9,95369,582.77
Rohtas,20338,230.18,78083,458.07
Saharsa,6827,127.45,50825,376.35
Samastipur,35192,503.37,171931,1018.01
Saran,60644,438.72,207113,795.64
Sheikhpura,5808,42.46,16479,66.55
Sheohar,2057,40.33,13187,86.79
Sitamarhi,15206,267.8,64233,512.41
Siwan,30700,275.24,117064,592.08
Supaul,6159,73.9,26932,190.38
Vaishali,28038,441.97,110874,785.81
