district,application_received,application_accepted,sanctioned,sanctioned,rejected_returnred,rejected_returnred,pendency_more_than_15_days
Araria,7085,6425,22.15,22.15,73.60,73.60,264
Arwal,1247,1247,27.02,27.02,65.36,65.36,89
Aurangabad,2580,2459,48.76,48.76,49.82,49.82,25
Banka,6663,6663,28.16,28.16,71.23,71.23,30
Begusarai,6660,5490,34.03,34.03,64.77,64.77,53
Bhagalpur,7871,7871,26.57,26.57,70.55,70.55,182
Bhojpur,4745,4734,22.50,22.50,76.17,76.17,63
Buxar,6083,6081,25.28,25.28,74.12,74.12,37
Darbhanga,6474,6474,28.44,28.44,69.34,69.34,144
Gaya,9795,8585,27.27,27.27,71.56,71.56,101
Gopalganj,3519,3519,36.66,36.66,58.03,58.03,183
Jamui,4384,4274,18.41,18.41,76.81,76.81,204
Jehanabad,4538,4532,39.32,39.32,59.95,59.95,1
Kaimur (Bhabua),3418,3418,30.31,30.31,69.69,69.69,0
Katihar,6568,6568,21.65,21.65,73.16,73.16,317
Khagaria,4995,4995,20.22,20.22,77.12,77.12,104
Kishanganj,5542,5542,22.19,22.19,74.31,74.31,172
Lakhisarai,4478,4478,37.43,37.43,62.53,62.53,2
Madhepura,6059,6059,38.82,38.82,58.67,58.67,136
Madhubani,13204,13175,11.17,11.17,88.01,88.01,90
Munger,4457,4457,16.29,16.29,82.61,82.61,47
Muzaffarpur,13465,13465,25.15,25.15,73.92,73.92,0
Nalanda,1638,1638,44.93,44.93,35.53,35.53,319
Nawada,6870,6817,26.98,26.98,69.06,69.06,204
Pashchim Champaran,3316,3316,29.16,29.16,70.39,70.39,0
Patna,6544,6534,23.72,23.72,73.08,73.08,209
Purbi Champaran,5029,5005,18.66,18.66,75.22,75.22,252
Purnia,7063,7039,22.30,22.30,75.54,75.54,142
Rohtas,9012,9012,14.68,14.68,82.27,82.27,255
Saharsa,6760,6760,31.79,31.79,67.91,67.91,0
Samastipur,8743,7495,40.80,40.80,56.68,56.68,189
Saran,3818,3818,17.55,17.55,80.15,80.15,87
Sheikhpura,1981,1887,25.17,25.17,73.29,73.29,29
Sheohar,2600,2566,36.13,36.13,61.69,61.69,56
Sitamarhi,9633,9562,35.45,35.45,63.87,63.87,65
Siwan,2092,2044,23.63,23.63,71.33,71.33,80
Supaul,1639,1637,27.00,27.00,71.66,71.66,22
Vaishali,7415,7415,30.47,30.47,68.52,68.52,75
