district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,2387,2.94,342,2.94,14.33,2.94
Arwal,745,4.45,109,4.45,14.63,4.45
Aurangabad,3635,4.08,727,4.08,20.00,4.08
Banka,1281,2.41,186,2.41,14.52,2.41
Begusarai,2318,5.18,148,5.18,6.38,5.18
Bhagalpur,2034,5.99,475,5.99,23.35,5.99
Bhojpur,1987,1.56,106,1.56,5.33,1.56
Buxar,1182,0.50,20,0.50,1.69,0.50
Darbhanga,2635,2.72,224,2.72,8.50,2.72
Gaya,4032,2.63,540,2.63,13.39,2.63
Gopalganj,1478,9.58,314,9.58,21.24,9.58
Jamui,837,4.69,157,4.69,18.76,4.69
Jehanabad,946,2.33,87,2.33,9.20,2.33
Kaimur (Bhabua),1994,0.69,50,0.69,2.51,0.69
Katihar,1818,7.42,683,7.42,37.57,7.42
Khagaria,363,7.75,69,7.75,19.01,7.75
Kishanganj,1756,4.30,446,4.30,25.40,4.30
Lakhisarai,1836,0.42,31,0.42,1.69,0.42
Madhepura,1178,3.13,108,3.13,9.17,3.13
Madhubani,3198,6.00,544,6.00,17.01,6.00
Munger,2100,1.35,157,1.35,7.48,1.35
Muzaffarpur,4326,10.26,475,10.26,10.98,10.26
Nalanda,2890,3.02,169,3.02,5.85,3.02
Nawada,734,7.07,90,7.07,12.26,7.07
Pashchim Champaran,3135,3.02,162,3.02,5.17,3.02
Patna,7808,2.93,423,2.93,5.42,2.93
Purbi Champaran,1681,6.83,384,6.83,22.84,6.83
Purnia,2566,7.32,634,7.32,24.71,7.32
Rohtas,2002,2.91,157,2.91,7.84,2.91
Saharsa,666,2.77,106,2.77,15.92,2.77
Samastipur,3742,3.65,172,3.65,4.60,3.65
Saran,2836,2.68,448,2.68,15.80,2.68
Sheikhpura,734,1.90,38,1.90,5.18,1.90
Sheohar,583,1.10,15,1.10,2.57,1.10
Sitamarhi,2303,2.50,212,2.50,9.21,2.50
Siwan,3448,3.97,397,3.97,11.51,3.97
Supaul,946,3.22,57,3.22,6.03,3.22
Vaishali,2840,6.81,403,6.81,14.19,6.81
