district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,1154,26.17,10.05,26.17,10.05,26.17,773,26.17,27.43,26.17,27.43,26.17
Arwal,430,69.43,10.70,69.43,10.70,69.43,362,69.43,51.66,69.43,51.66,69.43
Aurangabad,2175,57.39,12.41,57.39,12.41,57.39,1359,57.39,54.30,57.39,54.30,57.39
Banka,2215,19.68,5.24,19.68,5.24,19.68,795,19.68,20.75,19.68,20.75,19.68
Begusarai,3902,21.76,8.71,21.76,8.71,21.76,1940,21.76,22.58,21.76,22.58,21.76
Bhagalpur,3536,8.74,18.33,8.74,18.33,8.74,2204,8.74,11.25,8.74,11.25,8.74
Bhojpur,1585,34.69,18.93,34.69,18.93,34.69,1368,34.69,32.60,34.69,32.60,34.69
Buxar,1019,28.51,16.68,28.51,16.68,28.51,938,28.51,27.29,28.51,27.29,28.51
Darbhanga,2215,18.56,22.21,18.56,22.21,18.56,2561,18.56,19.37,18.56,19.37,18.56
Gaya,2338,18.03,45.47,18.03,45.47,18.03,3739,18.03,21.24,18.03,21.24,18.03
Gopalganj,1083,23.89,14.87,23.89,14.87,23.89,847,23.89,28.34,23.89,28.34,23.89
Jamui,1264,24.62,6.25,24.62,6.25,24.62,480,24.62,22.71,24.62,22.71,24.62
Jehanabad,803,56.71,19.80,56.71,19.80,56.71,701,56.71,48.93,56.71,48.93,56.71
Kaimur (Bhabua),917,47.75,8.94,47.75,8.94,47.75,693,47.75,39.68,47.75,39.68,47.75
Katihar,3028,17.77,5.61,17.77,5.61,17.77,832,17.77,24.40,17.77,24.40,17.77
Khagaria,827,33.49,8.95,33.49,8.95,33.49,589,33.49,36.33,33.49,36.33,33.49
Kishanganj,642,15.01,15.58,15.01,15.58,15.01,497,15.01,20.93,15.01,20.93,15.01
Lakhisarai,115,39.49,75.65,39.49,75.65,39.49,595,39.49,34.45,39.49,34.45,39.49
Madhepura,1975,29.25,3.90,29.25,3.90,29.25,543,29.25,31.12,29.25,31.12,29.25
Madhubani,4374,26.63,7.45,26.63,7.45,26.63,2204,26.63,28.72,26.63,28.72,26.63
Munger,1072,20.27,14.55,20.27,14.55,20.27,767,20.27,22.03,20.27,22.03,20.27
Muzaffarpur,4062,17.42,19.92,17.42,19.92,17.42,3878,17.42,20.27,17.42,20.27,17.42
Nalanda,2048,52.31,14.06,52.31,14.06,52.31,1567,52.31,52.27,52.31,52.27,52.31
Nawada,904,30.75,14.60,30.75,14.60,30.75,994,30.75,29.68,30.75,29.68,30.75
Pashchim Champaran,2333,23.55,10.72,23.55,10.72,23.55,1308,23.55,25.54,23.55,25.54,23.55
Patna,15599,10.00,24.95,10.00,24.95,10.00,13313,10.00,13.31,10.00,13.31,10.00
Purbi Champaran,2944,17.63,14.16,17.63,14.16,17.63,1839,17.63,20.83,17.63,20.83,17.63
Purnia,3318,15.41,9.31,15.41,9.31,15.41,1536,15.41,17.38,15.41,17.38,15.41
Rohtas,1901,37.90,15.10,37.90,15.10,37.90,1951,37.90,35.26,37.90,35.26,37.90
Saharsa,761,28.13,16.43,28.13,16.43,28.13,754,28.13,31.17,28.13,31.17,28.13
Samastipur,3134,22.50,13.27,22.50,13.27,22.50,2268,22.50,23.24,22.50,23.24,22.50
Saran,5599,32.78,5.27,32.78,5.27,32.78,1603,32.78,36.06,32.78,36.06,32.78
Sheikhpura,535,36.24,11.03,36.24,11.03,36.24,406,36.24,34.73,36.24,34.73,36.24
Sheohar,346,38.63,10.69,38.63,10.69,38.63,162,38.63,38.27,38.63,38.27,38.63
Sitamarhi,969,24.33,22.91,24.33,22.91,24.33,1262,24.33,28.21,24.33,28.21,24.33
Siwan,2894,35.58,7.26,35.58,7.26,35.58,1492,35.58,33.18,35.58,33.18,35.58
Supaul,943,38.87,9.01,38.87,9.01,38.87,722,38.87,37.12,38.87,37.12,38.87
Vaishali,12276,31.10,3.01,31.10,3.01,31.10,1925,31.10,34.34,31.10,34.34,31.10
