district,bc_fixed_point,bc_other,bc_total
Araria,2725,1461,1264
Arwal,487,265,222
Aurangabad,1620,1200,420
Banka,1391,832,559
Begusarai,3250,2083,1167
Bhagalpur,2117,1018,1099
Bhojpur,1906,1372,534
Buxar,1305,868,437
Darbhanga,4079,2546,1533
Gaya,9316,1985,7331
Gopalganj,2187,1249,938
Jamui,1367,844,523
Jehanabad,647,406,241
Kaimur (Bhabua),1088,712,376
Katihar,1912,1132,780
Khagaria,1602,1042,560
Kishanganj,1179,668,511
Lakhisarai,679,437,242
Madhepura,1836,938,898
Madhubani,3965,3070,895
Munger,802,492,310
Muzaffarpur,12546,2257,10289
Nalanda,1893,1381,512
Nawada,1811,1139,672
Pashchim Champaran,4723,2978,1745
Patna,154143,2183,151960
Purbi Champaran,4634,3116,1518
Purnia,2375,1495,880
Rohtas,1791,1081,710
Saharsa,1962,1271,691
Samastipur,3872,2414,1458
Saran,2817,1598,1219
Sheikhpura,481,251,230
Sheohar,669,309,360
Sitamarhi,2420,1346,1074
Siwan,2249,1154,1095
Supaul,1823,1188,635
Vaishali,3776,2418,1358
