District,No of cases pending 30.09.2024 No.,Amt.,"No. of cases filed during the
quarter 31.12.2024 No.",Amt.,"No. of cases disposed during
the quarter 31.12.2024 No.",Amt.,"No. of cases pending as at the
end of the quarter 31.12.2024 No.",Amt.,"Cases pending for 6 months or
more as on 31.12.2024 No.",Amt.
Araria,17,2,6,1,1,0,22,3,2,0
Arwal,6,1,1,0,0,0,7,2,6,1
Aurangabad,13,4,2,0,2,0,13,5,10,3
Banka,1,0,3,0,1,0,3,1,1,0
Begusarai,14,2,2,1,3,0,13,2,4,1
Bhagalpur,14,19,9,2,2,1,21,20,11,19
Bhojpur,6,13,15,14,4,13,17,14,7,12
Buxar,11,3,0,0,8,3,3,0,2,0
Darbhanga,30,7,7,3,3,1,34,9,11,5
Gaya,3,2,14,3,3,1,14,4,4,1
Gopalganj,26,3,6,2,2,0,30,4,8,0
Jamui,4,0,0,0,0,0,4,0,2,0
Jehanabad,8,1,1,0,4,1,5,1,0,0
Kaimur (Bhabua),9,3,7,8,14,9,2,1,0,0
Katihar,13,2,5,1,8,1,10,1,6,1
Khagaria,4,1,5,3,2,1,7,2,4,1
Kishanganj,11,1,26,2,6,1,31,3,5,0
Lakhisarai,3,1,6,2,1,0,8,2,1,1
Madhepura,7,1,3,0,0,0,10,2,2,1
Madhubani,6,1,5,2,2,1,9,3,0,0
Munger,13,6,4,2,5,2,12,6,7,4
Muzaffarpur,51,5,23,4,3,1,71,8,10,2
Nalanda,48,5,1,0,6,1,43,4,25,5
Nawada,3,1,3,1,2,0,4,1,19,15
Pashchim Champaran,22,2,14,4,2,0,34,6,3,1
Patna,46,11,38,39,28,13,56,37,13,14
Purbi Champaran,21,3,22,6,0,0,43,9,2,0
Purnia,55,13,12,3,8,2,59,14,24,12
Rohtas,59,5,17,3,11,1,65,7,48,4
Saharsa,22,5,8,1,2,1,28,6,3,0
Samastipur,12,3,7,2,8,2,11,3,0,0
Saran,32,3,8,2,5,1,35,4,2,0
Sheikhpura,5,1,0,0,1,0,4,1,2,1
Sheohar,8,1,10,2,0,0,18,3,5,1
Sitamarhi,17,2,1,0,10,1,8,1,3,0
Siwan,24,2,14,2,8,1,30,4,3,0
Supaul,7,1,3,0,2,0,8,1,0,0
Vaishali,48,6,16,5,2,2,62,10,9,4
