district,micro_enterprises_manufacturing_service_including_khadi_vill,amt,small_enterprises_manufacturing_service_s_a_c,amt,medium_enterprises_manufacturing_service_a_c,amt,other_finance_to_msmes_as_indicated_in_master_direction_on_p,amt,total_msmes_ps_a_c,amt
Araria,33590,1187.8,562,1187.8,34,1187.8,11,1187.8,34197,1187.8
Arwal,7192,228.52,178,228.52,16,228.52,1,228.52,7387,228.52
Aurangabad,20781,1043.45,513,1043.45,95,1043.45,18,1043.45,21407,1043.45
Banka,23278,522.9,246,522.9,1,522.9,15,522.9,23540,522.9
Begusarai,53559,2655.4,1596,2655.4,167,2655.4,15,2655.4,55337,2655.4
Bhagalpur,65807,2618.92,1016,2618.92,271,2618.92,25,2618.92,67119,2618.92
Bhojpur,28952,1082.74,602,1082.74,33,1082.74,5,1082.74,29592,1082.74
Buxar,18226,704.71,643,704.71,49,704.71,15,704.71,18933,704.71
Darbhanga,63379,1885.06,920,1885.06,79,1885.06,23,1885.06,64401,1885.06
Gaya,60942,2747.6,1561,2747.6,137,2747.6,14,2747.6,62654,2747.6
Gopalganj,30651,1008.71,351,1008.71,212,1008.71,33,1008.71,31247,1008.71
Jamui,18990,526.46,263,526.46,15,526.46,16,526.46,19284,526.46
Jehanabad,17736,421.4,295,421.4,48,421.4,1,421.4,18080,421.4
Kaimur (Bhabua),13724,531.17,335,531.17,20,531.17,11,531.17,14090,531.17
Katihar,33938,1290.1,701,1290.1,53,1290.1,17,1290.1,34709,1290.1
Khagaria,18284,532.21,282,532.21,9,532.21,5,532.21,18580,532.21
Kishanganj,22651,576.84,245,576.84,17,576.84,10,576.84,22923,576.84
Lakhisarai,11525,315.61,207,315.61,3,315.61,2,315.61,11737,315.61
Madhepura,26425,597.57,271,597.57,32,597.57,8,597.57,26736,597.57
Madhubani,48875,1244.47,658,1244.47,36,1244.47,40,1244.47,49609,1244.47
Munger,19992,606.38,479,606.38,39,606.38,16,606.38,20526,606.38
Muzaffarpur,98938,4344.44,2133,4344.44,163,4344.44,62,4344.44,101296,4344.44
Nalanda,41702,1381.33,1109,1381.33,69,1381.33,28,1381.33,42908,1381.33
Nawada,23422,786.08,883,786.08,74,786.08,12,786.08,24391,786.08
Pashchim Champaran,68323,1458.46,777,1458.46,35,1458.46,14,1458.46,69149,1458.46
Patna,143132,17116.12,7566,17116.12,1749,17116.12,173,17116.12,152620,17116.12
Purbi Champaran,56955,2190.35,911,2190.35,112,2190.35,36,2190.35,58014,2190.35
Purnia,65749,2603.44,1063,2603.44,94,2603.44,37,2603.44,66943,2603.44
Rohtas,33957,1662.67,845,1662.67,74,1662.67,24,1662.67,34900,1662.67
Saharsa,32442,845.49,380,845.49,24,845.49,12,845.49,32858,845.49
Samastipur,52147,1966.6,1088,1966.6,57,1966.6,52,1966.6,53344,1966.6
Saran,58351,1468.4,618,1468.4,39,1468.4,48,1468.4,59056,1468.4
Sheikhpura,7062,294.64,185,294.64,6,294.64,21,294.64,7274,294.64
Sheohar,7711,168.4,48,168.4,6,168.4,1,168.4,7766,168.4
Sitamarhi,34913,1133.57,454,1133.57,40,1133.57,23,1133.57,35430,1133.57
Siwan,65049,1449.64,620,1449.64,59,1449.64,46,1449.64,65774,1449.64
Supaul,28610,641.68,384,641.68,28,641.68,4,641.68,29026,641.68
Vaishali,55410,1664.69,694,1664.69,52,1664.69,49,1664.69,56205,1664.69
