district,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,212,427.84,126,427.84,0,427.84,4,427.84,5139,427.84,63198,427.84
Arwal,187,143.90,10,143.90,0,143.90,0,143.90,1063,143.90,19869,143.90
Aurangabad,738,680.13,44,680.13,0,680.13,0,680.13,3734,680.13,80853,680.13
Banka,165,427.87,28,427.87,1,427.87,1,427.87,6197,427.87,64942,427.87
Begusarai,438,657.55,147,657.55,1,657.55,5,657.55,8202,657.55,92257,657.55
Bhagalpur,248,482.14,79,482.14,0,482.14,0,482.14,5105,482.14,70530,482.14
Bhojpur,446,493.67,103,493.67,0,493.67,0,493.67,3168,493.67,70027,493.67
Buxar,256,567.25,40,567.25,0,567.25,0,567.25,1619,567.25,72019,567.25
Darbhanga,496,329.78,53,329.78,0,329.78,2,329.78,3737,329.78,43428,329.78
Gaya,794,1005.42,136,1005.42,0,1005.42,0,1005.42,3651,1005.42,121212,1005.42
Gopalganj,240,449.21,762,449.21,1,449.21,2,449.21,5502,449.21,71002,449.21
Jamui,109,476.33,19,476.33,0,476.33,0,476.33,3917,476.33,70707,476.33
Jehanabad,343,271.42,17,271.42,0,271.42,1,271.42,650,271.42,28913,271.42
Kaimur (Bhabua),275,555.30,34,555.30,1,555.30,0,555.30,1746,555.30,58969,555.30
Katihar,203,427.84,98,427.84,0,427.84,5,427.84,2089,427.84,58140,427.84
Khagaria,214,399.63,20,399.63,1,399.63,0,399.63,3538,399.63,66046,399.63
Kishanganj,104,267.35,279,267.35,0,267.35,1,267.35,1255,267.35,39784,267.35
Lakhisarai,205,276.39,15,276.39,0,276.39,0,276.39,2279,276.39,40272,276.39
Madhepura,169,329.13,109,329.13,0,329.13,0,329.13,2451,329.13,44388,329.13
Madhubani,633,398.95,62,398.95,0,398.95,8,398.95,5375,398.95,57653,398.95
Munger,169,289.12,38,289.12,0,289.12,0,289.12,3631,289.12,44865,289.12
Muzaffarpur,786,921.91,174,921.91,0,921.91,9,921.91,10634,921.91,135201,921.91
Nalanda,819,703.16,56,703.16,0,703.16,0,703.16,1943,703.16,87767,703.16
Nawada,295,480.08,37,480.08,0,480.08,0,480.08,2224,480.08,66764,480.08
Pashchim Champaran,334,587.22,25,587.22,1,587.22,0,587.22,14483,587.22,90226,587.22
Patna,1772,2380.90,483,2380.90,4,2380.90,0,2380.90,11450,2380.90,203508,2380.90
Purbi Champaran,383,903.00,60,903.00,1,903.00,0,903.00,12289,903.00,127402,903.00
Purnia,267,622.77,526,622.77,0,622.77,0,622.77,3436,622.77,82593,622.77
Rohtas,688,1041.99,169,1041.99,0,1041.99,1,1041.99,5654,1041.99,104262,1041.99
Saharsa,235,319.46,66,319.46,0,319.46,1,319.46,1214,319.46,40037,319.46
Samastipur,527,851.46,60,851.46,0,851.46,2,851.46,6420,851.46,119330,851.46
Saran,578,612.24,94,612.24,0,612.24,14,612.24,5706,612.24,82558,612.24
Sheikhpura,141,158.47,14,158.47,0,158.47,0,158.47,1306,158.47,21908,158.47
Sheohar,62,109.05,60,109.05,0,109.05,0,109.05,580,109.05,17155,109.05
Sitamarhi,356,493.78,56,493.78,0,493.78,7,493.78,3318,493.78,66201,493.78
Siwan,495,494.90,49,494.90,0,494.90,2,494.90,4774,494.90,60908,494.90
Supaul,268,385.73,131,385.73,0,385.73,0,385.73,1899,385.73,52957,385.73
Vaishali,661,644.83,322,644.83,0,644.83,72,644.83,6420,644.83,86928,644.83
