District,POS Rural,POS Semi-Urban,POS Urban,Total Branch
Araria,213,820,41.00,1074
Arwal,82,149,23.00,254
Aurangabad,250,1366,541.00,2157
Banka,129,361,44.00,534
Begusarai,1661,1510,1194.00,4365
Bhagalpur,124,893,2051.00,3068
Bhojpur,328,824,1108.00,2260
Buxar,126,445,619.00,1190
Darbhanga,521,842,1950.00,3313
Gaya,432,903,2829.00,4164
Gopalganj,198,1054,70.00,1322
Jamui,178,617,25.00,820
Jehanabad,54,120,417.00,591
Kaimur (Bhabua),172,414,21.00,607
Katihar,204,290,851.00,1345
Khagaria,34,609,65.00,708
Kishanganj,63,247,440.00,750
Lakhisarai,41,338,85.00,464
Madhepura,288,937,35.00,1260
Madhubani,227,1934,32.00,2193
Munger,155,147,567.00,869
Muzaffarpur,5045,3345,4364.00,12754
Nalanda,252,707,739.00,1698
Nawada,61,1075,52.00,1188
Pashchim Champaran,176,354,632.00,1162
Patna,5501,3932,26113.00,35546
Purbi Champaran,269,673,1084.00,2026
Purnia,305,467,1485.00,2257
Rohtas,165,621,823.00,1609
Saharsa,129,243,494.00,866
Samastipur,190,1893,143.00,2226
Saran,495,1079,1361.00,2935
Sheikhpura,121,293,25.00,439
Sheohar,68,265,21.00,354
Sitamarhi,71,1433,57.00,1561
Siwan,1760,1526,1163.00,4449
Supaul,182,828,24.00,1034
Vaishali,557,1025,1035.00,2617
