district,disbursement_no,amt,outstanding_no,amt
Araria,16227,541.8,84507,541.8
Arwal,2797,47.52,13371,47.52
Aurangabad,17504,292.22,59614,292.22
Banka,14421,262.41,51020,262.41
Begusarai,36534,927.24,158447,927.24
Bhagalpur,18258,500.73,105253,500.73
Bhojpur,12898,185.15,46422,185.15
Buxar,10778,181.94,40846,181.94
Darbhanga,59404,1057,266098,1057
Gaya,33156,521.86,103417,521.86
Gopalganj,33640,540.25,133118,540.25
Jamui,14385,245.55,38925,245.55
Jehanabad,1879,83.89,17592,83.89
Kaimur (Bhabua),13566,187.75,33744,187.75
Katihar,41658,746.94,162613,746.94
Khagaria,12138,351.06,50514,351.06
Kishanganj,7632,287,29413,287
Lakhisarai,6798,109.58,25595,109.58
Madhepura,15598,473.45,71254,473.45
Madhubani,26897,811.41,124547,811.41
Munger,8596,177.64,27802,177.64
Muzaffarpur,48063,1562.64,245872,1562.64
Nalanda,13791,231.02,52865,231.02
Nawada,15095,239.73,42188,239.73
Pashchim Champaran,37903,722.26,148722,722.26
Patna,81675,3191.58,517830,3191.58
Purbi Champaran,79081,1117.02,262989,1117.02
Purnia,16145,582.77,95369,582.77
Rohtas,20338,458.07,78083,458.07
Saharsa,6827,376.35,50825,376.35
Samastipur,35192,1018.01,171931,1018.01
Saran,60644,795.64,207113,795.64
Sheikhpura,5808,66.55,16479,66.55
Sheohar,2057,86.79,13187,86.79
Sitamarhi,15206,512.41,64233,512.41
Siwan,30700,592.08,117064,592.08
Supaul,6159,190.38,26932,190.38
Vaishali,28038,785.81,110874,785.81
