District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,5913,147.56,2299,13.69,38.88,9.28
Arwal,2573,64.15,375,3.88,14.57,6.05
Aurangabad,2145,53.35,486,3.60,22.66,6.75
Banka,3309,82.54,4407,23.22,133.18,28.13
Begusarai,11388,284.48,5196,35.42,45.63,12.45
Bhagalpur,8558,212.87,5102,36.28,59.62,17.04
Bhojpur,7450,186.01,1333,9.48,17.89,5.10
Buxar,5789,144.5,401,2.21,6.93,1.53
Darbhanga,6367,159.96,3858,25.52,60.59,15.95
Gaya,11574,289.1,2396,37.63,20.70,13.02
Gopalganj,4781,119.22,2492,26.66,52.12,22.36
Jamui,3840,95.79,622,7.69,16.20,8.03
Jehanabad,3411,85.18,368,3.77,10.79,4.43
Kaimur (Bhabua),4221,105.36,558,6.78,13.22,6.44
Katihar,8051,201,3760,27.09,46.70,13.48
Khagaria,4656,116.18,4841,40.55,103.97,34.90
Kishanganj,4836,120.83,1103,5.93,22.81,4.91
Lakhisarai,4596,114.72,1427,12.14,31.05,10.58
Madhepura,3222,80.28,2795,16.29,86.75,20.29
Madhubani,9060,226.23,2979,18.26,32.88,8.07
Munger,6230,155.47,2373,19.31,38.09,12.42
Muzaffarpur,16326,407.95,8156,67.20,49.96,16.47
Nalanda,7781,194.27,3608,26.18,46.37,13.48
Nawada,4103,102.32,422,5.54,10.29,5.41
Pashchim Champaran,7987,199.47,4063,34.47,50.87,17.28
Patna,25226,630.29,8401,95.49,33.30,15.15
Purbi Champaran,5370,134,5028,38.30,93.63,28.58
Purnia,6094,152.04,4664,28.20,76.53,18.55
Rohtas,5109,127.52,1805,14.13,35.33,11.08
Saharsa,1998,49.85,3448,17.81,172.57,35.73
Samastipur,9118,227.72,6342,46.48,69.55,20.41
Saran,12128,302.97,3654,28.09,30.13,9.27
Sheikhpura,2075,51.68,722,4.73,34.80,9.15
Sheohar,1722,42.85,2084,17.93,121.02,41.84
Sitamarhi,5454,136.12,2650,20.26,48.59,14.88
Siwan,6831,170.62,2297,23.19,33.63,13.59
Supaul,2714,67.67,790,6.32,29.11,9.34
Vaishali,6697,167.21,3273,35.86,48.87,21.45
