district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Araria,2065.11,47.80,47.80,2072.95,47.80,47.80,0.00,47.80,47.80,51.43,47.80,47.80,106.93,47.80,47.80,447.81,47.80,47.80,14.05,47.80,47.80,216.91,47.80,47.80,4975.19,47.80,47.80
Arwal,804.07,23.92,23.92,724.20,23.92,23.92,0.00,23.92,23.92,18.89,23.92,23.92,33.90,23.92,23.92,2.21,23.92,23.92,30.10,23.92,23.92,19.72,23.92,23.92,1633.09,23.92,23.92
Aurangabad,4505.06,28.88,28.88,1962.85,28.88,28.88,0.00,28.88,28.88,97.47,28.88,28.88,118.28,28.88,28.88,261.54,28.88,28.88,7.03,28.88,28.88,120.76,28.88,28.88,7072.99,28.88,28.88
Banka,1708.87,29.34,29.34,1471.25,29.34,29.34,0.00,29.34,29.34,99.28,29.34,29.34,229.93,29.34,29.34,219.13,29.34,29.34,11.19,29.34,29.34,86.54,29.34,29.34,3826.19,29.34,29.34
Begusarai,3550.54,52.63,52.63,3135.65,52.63,52.63,0.00,52.63,52.63,175.23,52.63,52.63,336.39,52.63,52.63,85.36,52.63,52.63,6.77,52.63,52.63,154.91,52.63,52.63,7444.85,52.63,52.63
Bhagalpur,3986.51,37.52,37.52,4064.51,37.52,37.52,0.00,37.52,37.52,158.52,37.52,37.52,330.65,37.52,37.52,283.14,37.52,37.52,8.83,37.52,37.52,247.96,37.52,37.52,9080.12,37.52,37.52
Bhojpur,3803.22,29.50,29.50,3037.38,29.50,29.50,0.00,29.50,29.50,70.92,29.50,29.50,129.38,29.50,29.50,8.96,29.50,29.50,134.45,29.50,29.50,82.55,29.50,29.50,7266.86,29.50,29.50
Buxar,3551.06,21.98,21.98,1513.00,21.98,21.98,0.00,21.98,21.98,45.39,21.98,21.98,87.72,21.98,21.98,17.85,21.98,21.98,3.39,21.98,21.98,104.96,21.98,21.98,5323.37,21.98,21.98
Darbhanga,3614.91,41.18,41.18,3032.57,41.18,41.18,0.00,41.18,41.18,99.25,41.18,41.18,178.50,41.18,41.18,106.46,41.18,41.18,12.47,41.18,41.18,181.15,41.18,41.18,7225.31,41.18,41.18
Gaya,4601.42,45.91,45.91,4422.00,45.91,45.91,0.00,45.91,45.91,104.72,45.91,45.91,187.94,45.91,45.91,408.55,45.91,45.91,28.24,45.91,45.91,214.46,45.91,45.91,9967.33,45.91,45.91
Gopalganj,4121.55,31.40,31.40,1602.46,31.40,31.40,0.00,31.40,31.40,48.40,31.40,31.40,100.74,31.40,31.40,6.55,31.40,31.40,103.97,31.40,31.40,39.92,31.40,31.40,6023.59,31.40,31.40
