District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch
Araria,85,81,1,167
Arwal,41,25,1,67
Aurangabad,122,50,35,207
Banka,82,50,1,133
Begusarai,86,100,49,235
Bhagalpur,101,98,94,293
Bhojpur,123,65,57,245
Buxar,86,41,32,159
Darbhanga,117,65,75,257
Gaya,186,45,97,328
Gopalganj,128,71,0,199
Jamui,73,55,1,129
Jehanabad,59,10,30,99
Kaimur (Bhabua),89,40,1,130
Katihar,107,40,46,193
Khagaria,40,77,2,119
Kishanganj,64,20,30,114
Lakhisarai,44,46,1,91
Madhepura,38,83,1,122
Madhubani,124,160,3,287
Munger,59,30,53,142
Muzaffarpur,184,97,126,407
Nalanda,145,68,49,262
Nawada,74,84,0,158
Pashchim Champaran,103,77,50,230
Patna,203,206,599,1008
Purbi Champaran,108,153,52,313
Purnia,97,65,78,240
Rohtas,132,62,57,251
Saharsa,47,26,32,105
Samastipur,170,135,2,307
Saran,166,59,48,273
Sheikhpura,30,34,1,65
Sheohar,19,27,0,46
Sitamarhi,56,116,4,176
Siwan,143,66,55,264
Supaul,48,79,0,127
Vaishali,140,76,49,265
