district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_sector_target,achie,achie
Araria,0.00,60.51,60.51,14.35,60.51,60.51,57.49,60.51,60.51,373.61,60.51,60.51,991.51,60.51,60.51,1436.96,60.51,60.51
Arwal,0.00,33.84,33.84,5.37,33.84,33.84,21.56,33.84,33.84,140.04,33.84,33.84,371.67,33.84,33.84,538.64,33.84,33.84
Aurangabad,0.00,40.65,40.65,16.31,40.65,40.65,65.30,40.65,40.65,424.36,40.65,40.65,1126.15,40.65,40.65,1632.12,40.65,40.65
Banka,0.00,43.98,43.98,10.18,43.98,43.98,40.73,43.98,43.98,264.76,43.98,43.98,702.64,43.98,43.98,1018.31,43.98,43.98
Begusarai,0.00,73.85,73.85,20.43,73.85,73.85,81.67,73.85,73.85,530.95,73.85,73.85,1408.99,73.85,73.85,2042.04,73.85,73.85
Bhagalpur,0.00,65.87,65.87,28.80,65.87,65.87,115.34,65.87,65.87,749.86,65.87,65.87,1989.96,65.87,65.87,2883.96,65.87,65.87
Bhojpur,0.00,60.47,60.47,17.67,60.47,60.47,70.79,60.47,60.47,459.96,60.47,60.47,1220.63,60.47,60.47,1769.05,60.47,60.47
Buxar,0.00,41.46,41.46,13.20,41.46,41.46,52.83,41.46,41.46,343.39,41.46,41.46,911.30,41.46,41.46,1320.72,41.46,41.46
Darbhanga,0.00,68.21,68.21,21.55,68.21,68.21,86.29,68.21,68.21,560.94,68.21,68.21,1488.65,68.21,68.21,2157.43,68.21,68.21
Gaya,0.00,58.07,58.07,39.46,58.07,58.07,157.96,58.07,58.07,1026.70,58.07,58.07,2724.70,58.07,58.07,3948.82,58.07,58.07
Gopalganj,0.00,52.12,52.12,14.17,52.12,52.12,56.78,52.12,52.12,369.02,52.12,52.12,979.31,52.12,52.12,1419.28,52.12,52.12
Jamui,0.00,61.80,61.80,8.32,61.80,61.80,33.38,61.80,61.80,216.88,61.80,61.80,575.61,61.80,61.80,834.19,61.80,61.80
Jehanabad,0.00,41.92,41.92,8.83,41.92,41.92,35.40,41.92,41.92,229.99,41.92,41.92,610.35,41.92,41.92,884.57,41.92,41.92
Kaimur (Bhabua),0.00,41.67,41.67,10.38,41.67,41.67,41.46,41.67,41.67,269.52,41.67,41.67,715.24,41.67,41.67,1036.60,41.67,41.67
Katihar,0.00,60.53,60.53,18.29,60.53,60.53,73.16,60.53,60.53,475.46,60.53,60.53,1261.75,60.53,60.53,1828.66,60.53,60.53
Khagaria,0.00,54.27,54.27,8.74,54.27,54.27,34.99,54.27,54.27,227.41,54.27,54.27,603.54,54.27,54.27,874.68,54.27,54.27
Kishanganj,0.00,63.86,63.86,8.98,63.86,63.86,35.89,63.86,63.86,233.35,63.86,63.86,619.29,63.86,63.86,897.51,63.86,63.86
Lakhisarai,0.00,48.26,48.26,6.22,48.26,48.26,24.94,48.26,48.26,162.27,48.26,48.26,430.65,48.26,48.26,624.08,48.26,48.26
Madhepura,0.00,43.33,43.33,12.16,43.33,43.33,48.65,43.33,43.33,316.19,43.33,43.33,839.09,43.33,43.33,1216.09,43.33,43.33
Madhubani,0.00,48.18,48.18,21.08,48.18,48.18,84.44,48.18,48.18,548.76,48.18,48.18,1456.32,48.18,48.18,2110.60,48.18,48.18
Munger,0.00,58.27,58.27,11.75,58.27,58.27,47.09,58.27,58.27,306.06,58.27,58.27,812.20,58.27,58.27,1177.10,58.27,58.27
Muzaffarpur,0.00,89.35,89.35,48.14,89.35,89.35,192.65,89.35,89.35,1252.05,89.35,89.35,3322.79,89.35,89.35,4815.63,89.35,89.35
Nalanda,0.00,55.68,55.68,18.06,55.68,55.68,72.31,55.68,55.68,470.06,55.68,55.68,1247.43,55.68,55.68,1807.86,55.68,55.68
Nawada,0.00,54.22,54.22,10.49,54.22,54.22,41.96,54.22,54.22,272.73,54.22,54.22,723.81,54.22,54.22,1048.99,54.22,54.22
Pashchim Champaran,0.00,65.41,65.41,18.88,65.41,65.41,75.24,65.41,65.41,490.15,65.41,65.41,1300.75,65.41,65.41,1885.02,65.41,65.41
Patna,0.00,157.54,157.54,184.02,157.54,157.54,734.94,157.54,157.54,4776.84,157.54,157.54,12677.00,157.54,157.54,18372.80,157.54,157.54
