District,Total PMJDY Accounts,"No. OF PMJDY
Accounts Opened in
2024 - 25 As On
31.12.2024",Zero Balance A/c,"Deposits held in the
A/c",Rupay Card Issued,Rupay Card Activated,Aadhaar Seeded
Araria,1883254,75550,116482,483.66,1345281,351939,1588391
Arwal,366641,33717,29721,155.09,205216,92032,301660
Aurangabad,1533455,68328,120871,582.4,1049048,441262,1271276
Banka,1326796,63492,73879,543.84,549217,155257,1095973
Begusarai,1615261,93404,98030,686.72,837153,232100,1300670
Bhagalpur,1636528,89061,96553,642.7,815042,238231,1373496
Bhojpur,1423151,77012,77872,688.17,815098,331642,1168277
Buxar,1108909,54365,60227,475.01,615955,212578,860920
Darbhanga,1568758,98695,117603,683.2,1216918,403704,1304100
Gaya,2614248,140645,130770,1052.14,1803750,692627,2182179
Gopalganj,1461921,85082,93291,769.88,1094619,405280,1204398
Jamui,1045205,55123,45482,436.62,534366,87197,809961
Jehanabad,522884,39104,33721,221.17,353496,168147,428185
Kaimur (Bhabua),902341,53453,55274,297.96,562995,188099,736056
Katihar,1871409,89016,113689,653.54,1199067,544172,1631063
Khagaria,1067032,52478,51685,340.21,442803,114339,878667
Kishanganj,1246740,51308,67159,347.16,999249,300605,1073983
Lakhisarai,615195,30139,36521,255.86,288006,93459,487015
Madhepura,1072966,51285,52782,334.9,852478,275146,861057
Madhubani,2129715,115785,176098,793.74,1640456,582723,1759075
Munger,608955,41072,36444,300.63,322459,113426,485106
Muzaffarpur,2440377,135253,195508,960.96,1684745,537780,2080530
Nalanda,1260350,84752,47669,645.44,664043,256858,1014129
Nawada,1314472,70951,54488,492.63,716584,297574,1039415
Pashchim Champaran,2410019,139464,173917,667.89,1948078,685964,2008226
Patna,2526195,150604,214922,1176.97,1606923,578946,2043653
Purbi Champaran,2686499,170793,192058,849.63,2106409,698472,2180177
Purnia,2066672,96896,116711,590.38,1514498,420475,1737175
Rohtas,1510826,89351,90308,614.22,912639,305485,1207471
Saharsa,879735,45149,68646,274.12,710883,192579,708716
Samastipur,2433964,133071,114434,908.13,1538238,526053,1998854
Saran,2397246,123938,166988,1102.51,1847914,632243,1903207
Sheikhpura,332134,22727,11607,155.78,172084,42996,259042
Sheohar,329693,32485,19779,121.55,221941,54748,301103
Sitamarhi,1852527,115356,126712,720.85,1304906,512744,1629262
Siwan,1627054,122128,117998,892.5,1179348,424505,1336061
Supaul,1160364,73107,73853,423.15,960272,326098,950819
Vaishali,1757300,130459,132649,788.79,1272161,469063,1432586
