district,msme_npa_micro_no,msme_npa_micro_amt,msme_npa_small_no,msme_npa_small_amt,msme_npa_medium_no,msme_npa_medium_amt,msme_npa_other_no,msme_npa_other_amt,msme_npa_total_no,msme_npa_total_amt
Araria,8522,70.97,28,10.59,1,0.02,4,0,8555,81.58
Arwal,2770,28.33,18,2.89,2,0.06,1,0.05,2791,31.33
Aurangabad,9047,91.33,56,9.73,4,0.02,5,0.2,9112,101.28
Banka,6093,80.03,25,40.37,1,0.01,13,0.06,6132,120.47
Begusarai,9168,120.94,445,11.53,5,0.03,7,0,9625,132.5
Bhagalpur,11026,116.24,107,6.04,7,0.09,7,0.23,11147,122.6
Bhojpur,12263,91.07,87,10.3,2,0.06,2,0.01,12354,101.44
Buxar,12161,92.1,74,8.77,2,0.07,7,0.09,12244,101.03
Darbhanga,9932,102.62,171,5.37,8,12.37,14,0.14,10125,120.5
Gaya,18364,253.11,327,25.93,8,14.51,7,0,18706,293.55
Gopalganj,8250,68.21,30,1.33,97,1.19,16,0.05,8393,70.78
Jamui,6799,59.35,31,1.55,4,0.73,7,0.06,6841,61.69
Jehanabad,4496,61.93,35,1.73,2,0.07,1,0,4534,63.73
Kaimur (Bhabua),7880,68.01,51,8.9,3,0.27,6,0.45,7940,77.63
Katihar,8649,75.96,41,2.32,2,0.01,10,0.11,8702,78.4
Khagaria,4359,43,16,0.9,1,0.01,0,0,4376,43.91
Kishanganj,7163,42.09,23,2.01,1,0.02,7,0.02,7194,44.14
Lakhisarai,3374,27.6,63,0.91,0,0,1,0,3438,28.51
Madhepura,10218,70.69,10,0.57,8,0.24,5,0.02,10241,71.52
Madhubani,11187,102.99,88,2.79,1,0,9,0.02,11285,105.8
Munger,7521,79.72,253,3.48,3,0.02,10,0.06,7787,83.28
Muzaffarpur,19367,244.34,343,16.25,12,0.37,33,0.3,19755,261.26
Nalanda,13065,143.99,185,7.96,20,4.99,8,0.15,13278,157.09
Nawada,8776,65.71,249,7.06,13,0.11,4,0.07,9042,72.95
Pashchim Champaran,11506,100.67,120,11.44,2,0.09,11,0.18,11639,112.38
Patna,25865,826.63,847,309.64,63,40.33,62,2.47,26837,1179.07
Purbi Champaran,13900,137.83,115,10.07,21,0.44,8,0.16,14044,148.5
Purnia,12535,122.53,75,9.51,0,0,17,0.26,12627,132.3
Rohtas,17779,184.79,127,20.07,14,1.85,9,0.06,17929,206.77
Saharsa,7575,72.03,65,5.8,1,0.07,6,0.01,7647,77.91
Samastipur,9280,123.12,138,5.06,1,0,21,0.04,9440,128.22
Saran,17724,163.54,176,3.99,4,0.25,32,0.1,17936,167.88
Sheikhpura,2916,29.29,18,3.53,1,0.02,11,0.01,2946,32.85
Sheohar,2844,28.11,4,0.21,0,0,1,0,2849,28.32
Sitamarhi,10382,92.02,42,1.74,0,0,6,0.08,10430,93.84
Siwan,8832,116.26,72,5.86,3,0.02,27,0.27,8934,122.41
Supaul,7718,56.13,39,2.39,0,0,2,0,7759,58.52
Vaishali,12504,124.66,69,6.31,0,0,28,0.65,12601,131.62
