district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,38023,259.15,11024,59.27,3879,29.08,9,4.14,106,1.28,49162,323.84
Arwal,13078,81.27,2629,18.28,1655,8.90,3,0.13,108,2.13,15818,101.81
Aurangabad,56752,461.63,10272,68.88,7017,37.14,27,0.38,174,8.36,67225,539.25
Banka,43314,241.51,8966,48.39,5254,23.91,36,0.11,102,2.27,52418,292.28
Begusarai,58050,385.88,15284,98.20,10721,61.04,13,0.76,492,7.75,73839,492.59
Bhagalpur,42564,274.53,11169,58.71,6666,27.61,15,0.40,203,4.70,53951,338.34
Bhojpur,41470,293.74,12280,63.75,9519,29.09,15,0.06,191,5.15,53956,362.70
Buxar,46157,386.77,11495,60.20,8584,32.44,28,0.54,180,4.44,57860,451.95
Darbhanga,13277,93.92,15583,81.09,12671,58.78,11,0.66,144,5.05,29015,180.72
Gaya,72738,539.90,24724,114.72,9240,46.56,145,1.39,318,8.28,97925,664.29
Gopalganj,43799,291.43,12143,59.50,9712,40.66,5,0.17,155,3.69,56102,354.79
Jamui,54013,367.52,5720,33.58,3373,18.77,1,0.00,87,1.44,59821,402.54
Jehanabad,18528,140.70,4726,48.31,2145,11.73,10,0.07,104,3.75,23368,192.83
Kaimur (Bhabua),41665,378.08,7055,46.64,3948,24.14,17,0.52,236,34.02,48973,459.26
Katihar,37239,269.96,9564,58.36,6460,32.22,26,0.28,214,4.42,47043,333.02
Khagaria,46259,259.28,11492,77.04,7878,44.46,0,0.00,146,2.31,57897,338.63
Kishanganj,26740,192.33,4082,17.90,1127,8.98,6,0.06,123,1.79,30951,212.08
Lakhisarai,30027,206.43,4222,26.86,2185,12.36,2,0.01,84,1.15,34335,234.45
Madhepura,23024,194.81,8229,46.12,5180,23.33,43,0.66,122,2.33,31418,243.92
Madhubani,28376,184.55,11717,72.39,7301,37.50,29,0.29,168,2.90,40290,260.13
Munger,28235,165.71,4871,24.39,3356,15.26,7,0.06,127,2.01,33240,192.17
Muzaffarpur,64356,404.45,39023,182.00,26313,103.74,41,0.22,423,10.11,103843,596.78
Nalanda,58247,415.16,13230,87.15,8490,45.94,20,1.81,174,7.79,71671,511.91
Nawada,44732,308.76,10219,63.74,6290,23.37,24,1.11,191,15.04,55166,388.65
Pashchim Champaran,46168,327.64,17382,86.80,10984,57.60,6,4.65,188,16.80,63744,435.89
Patna,63704,512.06,97887,330.81,67401,202.46,60,12.38,1311,227.53,162962,1082.78
Purbi Champaran,81108,613.24,19279,88.79,12938,70.98,4,0.05,234,10.71,100625,712.79
Purnia,53026,363.75,12451,67.66,6691,29.58,83,11.48,177,23.77,65737,466.66
Rohtas,67242,669.09,12089,85.64,8177,73.38,86,1.73,404,32.62,79821,789.08
Saharsa,25563,189.32,5120,36.84,2831,19.53,5,0.30,186,4.24,30874,230.70
Samastipur,83971,559.80,18607,115.54,13571,76.38,17,0.84,286,6.79,102881,682.97
Saran,40839,293.91,17094,109.94,11867,60.88,16,0.57,281,5.15,58230,409.57
Sheikhpura,15647,104.40,1822,12.57,1283,5.93,0,0.00,32,0.74,17501,117.71
Sheohar,11176,61.78,2377,14.09,948,7.71,0,0.00,51,0.99,13604,76.86
Sitamarhi,42583,295.97,9318,77.79,5995,44.37,3,0.12,130,2.63,52034,376.51
Siwan,29296,223.00,17101,67.88,10822,41.55,87,2.78,170,44.17,46654,337.83
Supaul,36489,268.91,5985,40.66,2586,19.93,11,0.31,415,2.85,42900,312.73
Vaishali,55060,369.36,11309,90.96,6553,53.53,105,0.73,378,13.45,66852,474.50
