district,target,forwarded_to_bank_no_of_prj_f,mm_involve_in_lakh_g,sanctioned_by_bank_no_of_prj_h,mm_involve_in_lakh_i,sanction,margin_money_claimed_no_of_prj_j,mm_in_lakh_k,disbursement_made_by_nodal_branches_no_of_prj_l,mm_in_lakh_m,no_of_applications_rejected_by_bank_no_of_prj_p,mm_involve_in_lakh_q,pending_at_bank_no_of_prj_r,mm_involve_in_lakh_s,pending_for_mm_disbursement_no_of_prj_t,mm_in_lakh_u
Araria,1,4,0,1,0,100.00,0,0,0,0,1,0,2,0,0,0
Arwal,1,2,0,1,0,100.00,1,14.72,0,0,0,0,1,0,1,14.72
Aurangabad,2,3,0,0,0,0.00,2,18,1,3,1,0,2,0,1,15
Banka,1,,,,,0.00,,,,,,,,,,
Begusarai,2,1,0,0,0,0.00,1,2.25,0,0,1,0,0,0,1,2.25
Bhagalpur,2,,,,,0.00,,,,,,,,,,
Bhojpur,2,3,0,1,0,50.00,0,0,0,0,1,0,1,0,0,0
Buxar,2,3,0,0,0,0.00,2,1.63,1,0.94,1,0,2,0,1,0.69
Darbhanga,2,4,0,1,0,50.00,0,0,0,0,2,0,1,0,0,0
Gaya,2,4,0,3,0,150.00,4,19.17,0,0,1,0,1,0,4,19.17
Gopalganj,2,,,,,0.00,,,,,,,,,,
Jamui,1,,,,,0.00,,,,,,,,,,
Jehanabad,2,2,0,1,0,50.00,1,15,1,15,0,0,2,0,0,0
Kaimur (Bhabua),1,,,,,0.00,,,,,,,,,,
Katihar,2,1,0,1,0,50.00,0,0,0,0,0,0,0,0,0,0
Khagaria,1,1,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0
Kishanganj,2,4,0,2,0,100.00,1,1.55,0,0,0,0,2,0,1,1.55
Lakhisarai,1,1,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0
Madhepura,2,1,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0
Madhubani,2,,,,,0.00,,,,,,,,,,
Munger,2,,,,,0.00,,,,,,,,,,
Muzaffarpur,2,4,0,0,0,0.00,3,16.95,2,15.75,0,0,4,0,1,1.2
Nalanda,2,3,0,0,0,0.00,4,19.8,1,7.5,0,0,3,0,3,12.3
Nawada,2,2,0,1,0,50.00,1,15,0,0,0,0,1,0,1,15
Pashchim Champaran,2,7,0,1,0,50.00,2,16.8,1,15,2,0,4,0,1,1.8
Patna,3,5,0,1,0,33.33,7,42.42,4,26.25,0,0,4,0,3,16.17
Purbi Champaran,2,1,0,2,0,100.00,0,0,0,0,0,0,0,0,0,0
Purnia,2,2,0,0,0,0.00,1,2.25,1,2.25,0,0,2,0,0,0
Rohtas,2,3,0,0,0,0.00,0,0,0,0,0,0,3,0,0,0
Saharsa,1,,,,,0.00,,,,,,,,,,
Samastipur,2,2,0,0,0,0.00,0,0,0,0,1,0,1,0,0,0
Saran,2,4,0,1,0,50.00,0,0,0,0,0,0,3,0,0,0
Sheikhpura,1,,,,,0.00,,,,,,,,,,
Sheohar,1,,,,,0.00,,,,,,,,,,
Sitamarhi,1,1,0,0,0,0.00,1,1.03,0,0,0,0,1,0,1,1.03
Siwan,2,1,0,1,0,50.00,1,0.72,0,0,0,0,0,0,1,0.72
Supaul,1,1,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0
Vaishali,2,3,0,0,0,0.00,0,0,0,0,0,0,3,0,0,0
