district,animal_husbandry_and_allied_activities_no,amt,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,1244,155.19,0,155.19,2299,155.19,8161,155.19,342,155.19,819,155.19,4,155.19,0,155.19,12631,155.19
Arwal,134,16.86,0,16.86,375,16.86,45,16.86,109,16.86,57,16.86,0,16.86,0,16.86,1564,16.86
Aurangabad,323,136.45,0,136.45,486,136.45,2862,136.45,727,136.45,152,136.45,0,136.45,0,136.45,16534,136.45
Banka,730,184.66,0,184.66,4407,184.66,470,184.66,186,184.66,85,184.66,0,184.66,0,184.66,9294,184.66
Begusarai,1557,457.65,0,457.65,5196,457.65,5167,457.65,148,457.65,194,457.65,1,457.65,0,457.65,34090,457.65
Bhagalpur,1514,440.67,0,440.67,5102,440.67,2206,440.67,475,440.67,517,440.67,0,440.67,0,440.67,23282,440.67
Bhojpur,574,174.34,0,174.34,1333,174.34,210,174.34,106,174.34,174,174.34,0,174.34,0,174.34,20644,174.34
Buxar,480,151.96,0,151.96,401,151.96,1047,151.96,20,151.96,19,151.96,1,151.96,0,151.96,10896,151.96
Darbhanga,4077,335.88,0,335.88,3858,335.88,6815,335.88,224,335.88,246,335.88,0,335.88,0,335.88,51147,335.88
Gaya,242,225.52,0,225.52,2396,225.52,4301,225.52,540,225.52,413,225.52,0,225.52,0,225.52,20914,225.52
Gopalganj,1377,162.08,0,162.08,2492,162.08,2561,162.08,314,162.08,215,162.08,0,162.08,0,162.08,23852,162.08
Jamui,376,115.91,0,115.91,622,115.91,579,115.91,157,115.91,85,115.91,0,115.91,0,115.91,6202,115.91
Jehanabad,398,33.74,0,33.74,368,33.74,135,33.74,87,33.74,24,33.74,0,33.74,0,33.74,2721,33.74
Kaimur (Bhabua),270,79.48,1,79.48,558,79.48,1796,79.48,50,79.48,37,79.48,1,79.48,0,79.48,6843,79.48
Katihar,640,235.79,0,235.79,3760,235.79,3575,235.79,683,235.79,1864,235.79,2,235.79,0,235.79,34558,235.79
Khagaria,2027,88.40,0,88.40,4841,88.40,2554,88.40,69,88.40,181,88.40,2,88.40,0,88.40,7107,88.40
Kishanganj,554,56.76,0,56.76,1103,56.76,6937,56.76,446,56.76,425,56.76,0,56.76,0,56.76,4165,56.76
Lakhisarai,713,36.81,0,36.81,1427,36.81,209,36.81,31,36.81,67,36.81,0,36.81,0,36.81,2755,36.81
Madhepura,493,111.16,0,111.16,2795,111.16,4152,111.16,108,111.16,101,111.16,1,111.16,0,111.16,18307,111.16
Madhubani,1682,129.89,0,129.89,2979,129.89,7449,129.89,544,129.89,682,129.89,0,129.89,0,129.89,19694,129.89
Munger,742,80.62,0,80.62,2373,80.62,195,80.62,157,80.62,151,80.62,2,80.62,0,80.62,4378,80.62
Muzaffarpur,29151,517.59,0,517.59,8156,517.59,8990,517.59,475,517.59,504,517.59,2,517.59,1,517.59,39518,517.59
Nalanda,1541,96.82,0,96.82,3608,96.82,1403,96.82,169,96.82,337,96.82,2,96.82,0,96.82,10146,96.82
Nawada,342,54.64,0,54.64,422,54.64,629,54.64,90,54.64,122,54.64,0,54.64,0,54.64,6831,54.64
Pashchim Champaran,2602,233.83,0,233.83,4063,233.83,10330,233.83,162,233.83,221,233.83,0,233.83,0,233.83,23543,233.83
Patna,105830,1159.70,0,1159.70,8401,1159.70,2655,1159.70,423,1159.70,468,1159.70,3,1159.70,2,1159.70,68104,1159.70
Purbi Champaran,3578,315.77,0,315.77,5028,315.77,8012,315.77,384,315.77,393,315.77,0,315.77,0,315.77,33696,315.77
Purnia,523,260.92,0,260.92,4664,260.92,4648,260.92,634,260.92,1073,260.92,22,260.92,0,260.92,18161,260.92
Rohtas,348,135.00,0,135.00,1805,135.00,2241,135.00,157,135.00,309,135.00,3,135.00,0,135.00,12849,135.00
Saharsa,510,70.38,0,70.38,3448,70.38,3475,70.38,106,70.38,409,70.38,0,70.38,0,70.38,8323,70.38
Samastipur,3399,364.62,0,364.62,6342,364.62,6879,364.62,172,364.62,288,364.62,1,364.62,0,364.62,26327,364.62
Saran,1441,339.92,0,339.92,3654,339.92,2088,339.92,448,339.92,473,339.92,0,339.92,0,339.92,53203,339.92
Sheikhpura,801,49.31,3,49.31,722,49.31,154,49.31,38,49.31,14,49.31,0,49.31,0,49.31,4246,49.31
Sheohar,565,45.40,0,45.40,2084,45.40,1400,45.40,15,45.40,143,45.40,0,45.40,0,45.40,3087,45.40
Sitamarhi,2180,158.68,0,158.68,2650,158.68,7887,158.68,212,158.68,143,158.68,0,158.68,0,158.68,14444,158.68
Siwan,11550,186.43,3,186.43,2297,186.43,3482,186.43,397,186.43,294,186.43,0,186.43,0,186.43,23976,186.43
Supaul,306,26.92,0,26.92,790,26.92,2486,26.92,57,26.92,223,26.92,0,26.92,0,26.92,1767,26.92
Vaishali,2227,227.37,3,227.37,3273,227.37,4867,227.37,403,227.37,193,227.37,1,227.37,0,227.37,15873,227.37
