District,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,773,24.49,1306,102.67,6,0.56,7,0.09,62835,203.36,308921,3463.11
Arwal,362,11.35,193,19.18,0,0.00,4,0.04,9184,26.37,56879,666.44
Aurangabad,1359,44.80,1494,141.23,3,0.01,2,0.03,29266,100.47,230438,3069.05
Banka,795,24.04,809,72.27,1,0.00,3,0.04,26379,123.99,199671,1852.45
Begusarai,1940,65.77,2724,251.69,2,0.03,16,0.12,40690,184.53,469133,6001.92
Bhagalpur,2204,77.55,3953,343.95,0,0.00,23,0.31,54984,238.15,360407,5109.64
Bhojpur,1368,48.57,2359,209.22,2,0.01,9,0.11,24830,89.58,358563,3132.31
Buxar,938,30.20,1700,145.39,1,0.00,5,0.04,17654,60.29,175942,2129.80
Darbhanga,2561,84.06,3075,279.25,17,0.34,19,0.20,42879,144.79,449342,4534.72
Gaya,3739,170.10,4360,394.03,132,0.06,32,0.41,47567,185.32,796019,7313.82
Gopalganj,847,25.74,1913,106.87,0,0.00,4,0.07,41046,133.03,339408,3443.61
Jamui,480,15.96,540,42.69,1,0.02,0,0.00,30666,100.92,184120,1831.15
Jehanabad,701,22.22,888,70.09,0,0.00,5,0.05,6537,21.01,85114,1192.81
Kaimur (Bhabua),693,22.62,791,74.19,1,0.00,6,0.08,17307,76.33,150348,2145.14
Katihar,832,30.89,2021,199.55,0,0.00,15,0.09,38746,178.35,370347,4197.41
Khagaria,589,19.32,542,44.71,7,0.14,2,0.02,18807,71.14,216576,2027.59
Kishanganj,497,17.59,1182,84.58,1,0.12,1,0.00,39787,146.64,206273,2232.00
Lakhisarai,595,20.41,601,51.23,0,0.00,1,0.02,15923,51.28,109832,1114.63
Madhepura,543,16.65,754,62.82,4,0.40,4,0.02,20511,73.49,263810,2284.09
Madhubani,2204,68.07,1939,193.15,1,0.00,15,0.08,34473,100.64,402923,3944.42
Munger,767,26.35,1063,101.38,0,0.00,1,0.01,20744,97.98,131840,1504.08
Muzaffarpur,3878,136.72,7198,683.01,3,0.02,34,0.28,94713,322.32,801600,10025.08
Nalanda,1567,48.79,1965,179.03,6,0.20,38,0.58,31775,127.61,255778,3556.04
Nawada,994,35.32,1643,159.59,0,0.00,2,0.03,29206,101.52,204516,2442.16
Pashchim Champaran,1308,41.40,1707,174.18,5,0.26,4,0.04,52139,256.15,441942,4626.57
Patna,13313,541.26,31393,3749.33,316,92.45,88,1.25,130995,576.96,2046470,32469.71
Purbi Champaran,1839,64.50,2344,226.68,3,0.02,24,0.09,98299,303.04,676939,7145.20
Purnia,1536,51.40,4474,396.64,3,0.09,2,0.04,43546,156.22,389064,5982.60
Rohtas,1951,64.32,2987,259.06,4,0.01,15,11.07,40410,128.07,276364,4484.60
Saharsa,754,24.21,915,77.77,2,0.19,1,0.01,16309,65.29,191859,2416.26
Samastipur,2268,75.61,2948,291.93,2,0.08,19,0.10,46354,183.86,507757,5707.63
Saran,1603,49.81,2034,206.42,9,0.04,20,0.08,61981,228.59,441478,4531.11
Sheikhpura,406,13.08,495,46.47,0,0.00,4,0.07,10074,32.95,69254,838.87
Sheohar,162,4.66,292,23.05,0,0.00,0,0.00,4769,11.17,59279,676.45
Sitamarhi,1262,41.67,1496,153.08,3,0.14,14,0.09,19954,76.67,251721,3264.42
Siwan,1492,47.33,1849,178.68,193,0.06,12,0.07,63055,216.10,837616,5313.26
Supaul,722,22.46,871,70.32,0,0.00,6,0.10,12642,41.49,176911,2153.70
Vaishali,1925,59.67,2883,246.32,0,0.00,83,0.26,61825,189.70,1530314,7490.20
