district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,other_priority_sector_target,achie,achie,total_priority_sector_target,achie,achie,non_priority_sector_target,achie,achie,grand_total_target,achie,achie
Araria,2065.11,50.65,50.65,2072.95,50.65,50.65,837.13,50.65,50.65,4975.19,50.65,50.65,1436.96,50.65,50.65,6412.15,50.65,50.65
Arwal,804.07,26.38,26.38,724.20,26.38,26.38,104.82,26.38,26.38,1633.09,26.38,26.38,538.64,26.38,26.38,2171.73,26.38,26.38
Aurangabad,4505.06,31.09,31.09,1962.85,31.09,31.09,605.08,31.09,31.09,7072.99,31.09,31.09,1632.12,31.09,31.09,8705.11,31.09,31.09
Banka,1708.87,32.42,32.42,1471.25,32.42,32.42,646.07,32.42,32.42,3826.19,32.42,32.42,1018.31,32.42,32.42,4844.50,32.42,32.42
Begusarai,3550.54,57.20,57.20,3135.65,57.20,57.20,758.66,57.20,57.20,7444.85,57.20,57.20,2042.04,57.20,57.20,9486.89,57.20,57.20
Bhagalpur,3986.51,44.36,44.36,4064.51,44.36,44.36,1029.10,44.36,44.36,9080.12,44.36,44.36,2883.96,44.36,44.36,11964.08,44.36,44.36
Bhojpur,3803.22,35.56,35.56,3037.38,35.56,35.56,426.26,35.56,35.56,7266.86,35.56,35.56,1769.05,35.56,35.56,9035.91,35.56,35.56
Buxar,3551.06,25.86,25.86,1513.00,25.86,25.86,259.31,25.86,25.86,5323.37,25.86,25.86,1320.72,25.86,25.86,6644.09,25.86,25.86
Darbhanga,3614.91,47.39,47.39,3032.57,47.39,47.39,577.83,47.39,47.39,7225.31,47.39,47.39,2157.43,47.39,47.39,9382.74,47.39,47.39
Gaya,4601.42,49.36,49.36,4422.00,49.36,49.36,943.91,49.36,49.36,9967.33,49.36,49.36,3948.82,49.36,49.36,13916.15,49.36,49.36
Gopalganj,4121.55,35.36,35.36,1602.46,35.36,35.36,299.58,35.36,35.36,6023.59,35.36,35.36,1419.28,35.36,35.36,7442.87,35.36,35.36
Jamui,1572.59,35.12,35.12,1195.49,35.12,35.12,361.56,35.12,35.12,3129.64,35.12,35.12,834.19,35.12,35.12,3963.83,35.12,35.12
Jehanabad,1260.05,30.62,30.62,1284.99,30.62,30.62,218.39,30.62,30.62,2763.43,30.62,30.62,884.57,30.62,30.62,3648.00,30.62,30.62
Kaimur (Bhabua),2833.68,30.41,30.41,1482.82,30.41,30.41,320.53,30.41,30.41,4637.03,30.41,30.41,1036.60,30.41,30.41,5673.63,30.41,30.41
Katihar,2403.56,46.23,46.23,2768.31,46.23,46.23,877.40,46.23,46.23,6049.27,46.23,46.23,1828.66,46.23,46.23,7877.93,46.23,46.23
Khagaria,2067.50,34.06,34.06,1338.97,34.06,34.06,214.19,34.06,34.06,3620.66,34.06,34.06,874.68,34.06,34.06,4495.34,34.06,34.06
Kishanganj,1343.42,48.15,48.15,1363.51,48.15,48.15,659.33,48.15,48.15,3366.26,48.15,48.15,897.51,48.15,48.15,4263.77,48.15,48.15
Lakhisarai,1327.89,29.66,29.66,1068.19,29.66,29.66,140.45,29.66,29.66,2536.53,29.66,29.66,624.08,29.66,29.66,3160.61,29.66,29.66
Madhepura,1836.71,32.16,32.16,1476.00,32.16,32.16,747.48,32.16,32.16,4060.19,32.16,32.16,1216.09,32.16,32.16,5276.28,32.16,32.16
Madhubani,3989.84,34.23,34.23,3015.37,34.23,34.23,703.47,34.23,34.23,7708.68,34.23,34.23,2110.60,34.23,34.23,9819.28,34.23,34.23
Munger,1721.64,30.67,30.67,1641.70,30.67,30.67,361.05,30.67,30.67,3724.39,30.67,30.67,1177.10,30.67,30.67,4901.49,30.67,30.67
Muzaffarpur,5368.16,62.47,62.47,5583.63,62.47,62.47,1275.86,62.47,62.47,12227.65,62.47,62.47,4815.63,62.47,62.47,17043.28,62.47,62.47
Nalanda,3461.58,37.38,37.38,2676.51,37.38,37.38,652.18,37.38,37.38,6790.27,37.38,37.38,1807.86,37.38,37.38,8598.13,37.38,37.38
Nawada,1868.36,39.37,39.37,1421.62,39.37,39.37,547.60,39.37,39.37,3837.58,39.37,39.37,1048.99,39.37,39.37,4886.57,39.37,39.37
Pashchim Champaran,2996.91,47.92,47.92,2562.91,47.92,47.92,611.18,47.92,47.92,6171.00,47.92,47.92,1885.02,47.92,47.92,8056.02,47.92,47.92
Patna,6998.67,99.09,99.09,19653.02,99.09,99.09,5611.74,99.09,99.09,32263.43,99.09,99.09,18372.80,99.09,99.09,50636.23,99.09,99.09
Purbi Champaran,4585.68,50.55,50.55,3560.45,50.55,50.55,845.64,50.55,50.55,8991.77,50.55,50.55,2819.10,50.55,50.55,11810.87,50.55,50.55
Purnia,3387.02,54.48,54.48,3136.49,54.48,54.48,1282.58,54.48,54.48,7806.09,54.48,54.48,2293.91,54.48,54.48,10100.00,54.48,54.48
Rohtas,3236.04,41.99,41.99,2796.50,41.99,41.99,537.50,41.99,41.99,6570.04,41.99,41.99,1870.43,41.99,41.99,8440.47,41.99,41.99
Saharsa,1691.67,47.48,47.48,1318.05,47.48,47.48,249.63,47.48,47.48,3259.35,47.48,47.48,1005.65,47.48,47.48,4265.00,47.48,47.48
Samastipur,4184.91,46.35,46.35,3517.88,46.35,46.35,672.23,46.35,46.35,8375.02,46.35,46.35,2428.82,46.35,46.35,10803.84,46.35,46.35
Saran,3851.56,35.35,35.35,3346.16,35.35,35.35,1562.62,35.35,35.35,8760.34,35.35,35.35,2300.41,35.35,35.35,11060.75,35.35,35.35
Sheikhpura,792.36,30.77,30.77,693.46,30.77,30.77,148.89,30.77,30.77,1634.71,30.77,30.77,469.73,30.77,30.77,2104.44,30.77,30.77
Sheohar,687.83,26.55,26.55,586.50,26.55,26.55,117.24,26.55,26.55,1391.57,26.55,26.55,397.28,26.55,26.55,1788.85,26.55,26.55
Sitamarhi,2335.03,43.16,43.16,2008.13,43.16,43.16,421.54,43.16,43.16,4764.70,43.16,43.16,1391.66,43.16,43.16,6156.36,43.16,43.16
Siwan,3667.92,46.49,46.49,2944.35,46.49,46.49,891.36,46.49,46.49,7503.63,46.49,46.49,1941.49,46.49,46.49,9445.12,46.49,46.49
Supaul,1681.94,40.13,40.13,1603.35,40.13,40.13,292.03,40.13,40.13,3577.32,40.13,40.13,1172.79,40.13,40.13,4750.11,40.13,40.13
Vaishali,3801.66,63.65,63.65,2154.60,63.65,63.65,1777.26,63.65,63.65,7733.52,63.65,63.65,2327.02,63.65,63.65,10060.54,63.65,63.65
