District,"Shishu
(Loans up to Rs. 50,000) Total Outstanding as of
quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,"Kishore
(Loans from Rs. 50,001 to Rs. 5.00 Lakh) Total Outstanding as of
quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,"Tarun
(Loans from Rs. 5.00 to Rs. 10.00 Lakh) Total Outstanding as of
quarter ended No.",Amt.,"Out of which
under NPA No.",Amt.,"Total (Loans up to Rs. 10.00 Lakh) Total Outstanding as of
quarter ended No.",Amt.,Out of which under NPA No.,Amt.,% Age NPA No.,Amt.
Jehanabad,25095,52.19,3650,9.74,24563,205.48,2442,28.32,1550,93.35,243,14.65,51208,351.02,6335,52.71,12.37,15.02
Kaimur (Bhabua),36273,77.46,6054,10.84,32979,225.94,3435,36.56,1730,104.03,233,11.09,70982,407.43,9722,58.49,13.70,14.36
Katihar,108007,218.30,9220,14.50,121603,900.96,5430,37.82,5452,253.39,254,12.08,235062,1372.65,14904,64.40,6.34,4.69
Khagaria,76797,162.66,16397,32.04,56703,373.58,5730,34.57,1881,110.98,189,8.08,135381,647.22,22316,74.69,16.48,11.54
Kishanganj,64188,129.01,3825,8.96,89224,653.25,2633,20.62,2237,90.07,119,5.13,155649,872.33,6577,34.71,4.23,3.98
Lakhisarai,25617,54.74,3680,6.91,26176,187.85,2038,12.73,1041,62.15,71,3.46,52834,304.74,5789,23.10,10.96,7.58
Madhepura,70233,138.57,8989,16.78,61537,490.62,4431,31.20,3195,136.35,200,7.65,134965,765.54,13620,55.63,10.09,7.27
Madhubani,143230,296.42,18540,39.10,106219,1008.82,6860,53.49,14184,483.40,367,18.78,263633,1788.64,25767,111.37,9.77,6.23
Munger,48762,104.68,6809,13.44,41107,291.95,4002,33.65,2080,134.89,259,14.37,91949,531.52,11070,61.46,12.04,11.56
Muzaffarpur,346232,711.01,36816,76.76,176730,1282.99,14712,104.95,12290,515.93,1030,51.30,535252,2509.93,52558,233.01,9.82,9.28
Nalanda,61658,135.75,5791,12.66,55650,485.68,6288,78.07,4291,261.21,566,31.10,121599,882.64,12645,121.83,10.40,13.80
Nawada,59417,132.50,6968,15.59,55679,371.23,4355,32.39,3057,182.54,364,18.58,118153,686.27,11687,66.56,9.89,9.70
Pashchim Champaran,151856,336.90,29867,52.80,118699,962.05,9715,53.18,7070,273.48,399,20.30,277625,1572.43,39981,126.28,14.40,8.03
Patna,715823,1570.28,51484,119.91,232481,1687.16,20237,170.52,17230,1028.75,2368,128.60,965534,4286.19,74089,419.03,7.67,9.78
Purbi Champaran,134344,314.06,27111,49.16,119802,896.05,12119,76.26,9480,405.56,545,25.86,263626,1615.67,39775,151.28,15.09,9.36
Purnia,102660,221.49,11112,20.93,118418,859.11,6493,45.13,7946,342.46,477,20.08,229024,1423.06,18082,86.14,7.90,6.05
Rohtas,102842,212.82,17970,33.18,66808,460.65,7934,78.69,4803,300.53,828,49.44,174453,974.00,26732,161.31,15.32,16.56
Saharsa,65175,129.31,10937,20.41,58847,494.74,4441,34.64,2731,139.04,257,14.32,126753,763.09,15635,69.37,12.34,9.09
Samastipur,185487,376.83,24285,50.38,162313,1004.52,11491,70.61,5035,314.87,399,20.60,352835,1696.22,36175,141.59,10.25,8.35
Saran,143950,329.13,23940,41.52,131704,880.72,11738,70.51,12040,444.30,539,30.74,287694,1654.15,36217,142.77,12.59,8.63
Sheikhpura,15631,36.03,1115,2.29,12497,115.11,1264,13.56,1062,68.41,111,6.12,29190,219.55,2490,21.97,8.53,10.01
Sheohar,15580,30.05,3499,5.31,11726,116.53,1514,14.29,846,42.26,89,5.46,28152,188.84,5102,25.06,18.12,13.27
Sitamarhi,91763,188.77,16145,31.54,81375,713.61,7222,54.33,5643,248.40,331,17.07,178781,1150.78,23698,102.94,13.26,8.95
Siwan,131888,278.10,15210,27.26,102910,896.54,6985,48.20,6049,290.60,409,24.02,240847,1465.24,22604,99.48,9.39,6.79
Supaul,40767,82.11,8836,18.47,45337,439.80,4005,29.65,4154,184.32,164,6.20,90258,706.23,13005,54.32,14.41,7.69
Vaishali,160451,321.19,21371,35.47,146917,1067.76,10945,70.16,9139,353.97,529,25.60,316507,1742.92,32845,131.23,10.38,7.53
