District,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Araria,2545979,2086095,1630727
Arwal,697524,595778,488752
Aurangabad,2731912,2307066,1250316
Banka,1965908,1767705,1545504
Begusarai,3263466,2727612,2142802
Bhagalpur,3364817,2845907,2526377
Bhojpur,3148880,2705382,1755160
Buxar,1973259,1673979,1147652
Darbhanga,3420596,2789981,1718840
Gaya,4889827,4245393,2453154
Gopalganj,2769906,2265730,1353558
Jamui,1861455,1497943,1261890
Jehanabad,1111389,938242,629953
Kaimur (Bhabua),1649578,1436827,981285
Katihar,2827331,2170962,1714242
Khagaria,1461856,1176346,1226588
Kishanganj,1707780,1369012,1077514
Lakhisarai,1094327,900523,725439
Madhepura,1854478,1465202,994796
Madhubani,3909450,3264955,1805028
Munger,1506700,1186538,966829
Muzaffarpur,5233509,4326314,2809778
Nalanda,3101642,2499658,1781335
Nawada,2366659,1917825,1358202
Pashchim Champaran,3643332,2991719,1838558
Patna,9307762,7044308,4302294
Purbi Champaran,4715234,3711254,2486878
Purnia,3096339,2442592,1903217
Rohtas,3201836,2658607,1736234
Saharsa,1657853,1311347,832760
Samastipur,4379467,3433427,2785746
Saran,4153053,3266243,2030100
Sheikhpura,726101,588219,414516
Sheohar,563447,526022,399056
Sitamarhi,3089085,2722709,1803703
Siwan,4244914,3612434,1735639
Supaul,2048505,1644957,1048542
Vaishali,4729018,3920256,1913527
