District,"MSME Micro Enterprises
(Manufacturing +
Service) (including
Khadi & Village
Industries) A/c",Amt,"Small Enterprises
(Manufacturing +
Service) A/c",Amt,"Medium
Enterprises
(Manufacturing +
Service) A/c",Amt,"Other finance to
MSMEs (As indicated
in Master Direction
on PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,10989,714.06,355,329.20,18,46.48,11,5.25,11373,1094.99
Arwal,3863,151.86,106,45.10,12,1.32,0,0.00,3981,198.28
Aurangabad,12379,777.35,246,242.80,30,9.71,8,0.40,12663,1030.26
Banka,7620,285.50,96,60.89,1,8.40,0,0.00,7717,354.79
Begusarai,24836,1413.10,538,625.37,70,253.68,4,4.14,25448,2296.29
Bhagalpur,30009,1360.55,587,566.95,42,159.63,6,0.87,30644,2088.00
Bhojpur,13501,762.09,309,256.21,15,33.63,4,0.18,13829,1052.11
Buxar,9027,455.25,378,118.54,16,4.82,5,1.04,9426,579.65
Darbhanga,24450,1080.09,450,387.88,41,116.02,9,1.93,24950,1585.92
Gaya,28014,1475.10,660,571.60,69,185.84,7,0.56,28750,2233.10
Gopalganj,8052,547.87,208,145.36,20,74.22,1,0.07,8281,767.52
Jamui,7407,288.67,136,109.93,10,12.47,6,1.36,7559,412.43
Jehanabad,9620,299.91,147,40.12,32,7.06,0,0.00,9799,347.09
Kaimur (Bhabua),10404,324.16,159,90.82,10,12.34,2,0.03,10575,427.35
Katihar,12557,743.61,343,356.43,21,50.37,9,2.44,12930,1152.85
Khagaria,7741,346.97,174,135.80,7,10.09,7,0.54,7929,493.40
Kishanganj,7371,327.78,144,129.79,12,32.03,4,0.14,7531,489.74
Lakhisarai,4952,271.39,72,28.26,2,0.68,0,0.00,5026,300.33
Madhepura,6664,353.11,157,121.11,16,8.21,0,0.00,6837,482.43
Madhubani,14695,797.13,292,211.88,18,10.03,7,0.39,15012,1019.43
Munger,7141,351.12,115,53.01,18,2.22,2,0.04,7276,406.39
Muzaffarpur,32896,2276.25,1061,1135.22,91,208.97,14,10.32,34062,3630.76
Nalanda,31482,954.28,512,257.63,34,17.31,5,0.33,32033,1229.55
Nawada,9857,505.55,307,108.06,30,34.09,11,1.61,10205,649.31
Pashchim Champaran,12065,824.46,468,340.67,11,5.65,2,0.02,12546,1170.80
Patna,60325,6485.58,4606,4934.52,1221,3042.86,42,40.08,66194,14503.04
Purbi Champaran,17061,1211.74,545,430.21,56,91.17,22,5.71,17684,1738.83
Purnia,28609,1428.27,644,683.77,66,294.77,9,0.41,29328,2407.22
Rohtas,21796,964.63,371,303.36,32,25.88,4,0.27,22203,1294.14
Saharsa,8784,461.74,217,229.75,17,12.25,3,3.95,9021,707.69
Samastipur,25843,1514.97,584,397.70,32,52.47,19,1.45,26478,1966.59
Saran,17067,863.86,292,205.27,22,29.19,12,3.44,17393,1101.76
Sheikhpura,3685,184.28,110,43.94,3,3.20,4,0.75,3802,232.17
Sheohar,2031,98.00,22,9.63,2,0.11,0,0.00,2055,107.74
Sitamarhi,11558,684.63,245,181.45,28,30.11,9,1.00,11840,897.19
Siwan,25212,872.27,353,239.95,28,26.23,11,8.09,25604,1146.54
Supaul,7835,407.18,236,131.55,13,2.16,4,0.25,8088,541.14
Vaishali,17600,1013.29,403,260.69,25,66.43,13,1.13,18041,1341.54
