district,sc_no_of_a_cs,sanctioned_amt,disburseme_nt_amt,st_no_of_a_cs,sanctioned_amt,disburseme_nt_amt,women_general_no_of_a_cs,sanctioned_amt,disburseme_nt_amt,total_no_of_a_cs,sanctioned_amt,disburseme_nt_amt
Araria,16,8.20,0.68,0,8.20,0.68,13,8.20,0.68,29,8.20,0.68
Arwal,0,0.21,0.01,0,0.21,0.01,2,0.21,0.01,2,0.21,0.01
Aurangabad,2,1.60,0.15,0,1.60,0.15,12,1.60,0.15,14,1.60,0.15
Banka,3,1.24,0.41,0,1.24,0.41,5,1.24,0.41,8,1.24,0.41
Begusarai,20,8.22,5.59,0,8.22,5.59,17,8.22,5.59,37,8.22,5.59
Bhagalpur,9,10.85,5.63,0,10.85,5.63,44,10.85,5.63,53,10.85,5.63
Bhojpur,3,2.92,1.55,0,2.92,1.55,17,2.92,1.55,20,2.92,1.55
Buxar,0,1.49,0.72,0,1.49,0.72,10,1.49,0.72,10,1.49,0.72
Darbhanga,11,11.77,2.90,1,11.77,2.90,29,11.77,2.90,41,11.77,2.90
Gaya,17,8.90,4.79,0,8.90,4.79,24,8.90,4.79,41,8.90,4.79
Gopalganj,0,8.52,0.61,0,8.52,0.61,34,8.52,0.61,34,8.52,0.61
Jamui,2,0.59,0.10,0,0.59,0.10,3,0.59,0.10,5,0.59,0.10
Jehanabad,1,0.88,0.38,0,0.88,0.38,2,0.88,0.38,3,0.88,0.38
Kaimur (Bhabua),3,1.48,0.48,0,1.48,0.48,8,1.48,0.48,11,1.48,0.48
Katihar,10,6.80,0.99,2,6.80,0.99,32,6.80,0.99,44,6.80,0.99
Khagaria,6,6.16,0.80,0,6.16,0.80,19,6.16,0.80,25,6.16,0.80
Kishanganj,4,2.98,0.00,1,2.98,0.00,5,2.98,0.00,10,2.98,0.00
Lakhisarai,2,0.60,0.29,0,0.60,0.29,3,0.60,0.29,5,0.60,0.29
Madhepura,6,5.85,1.25,1,5.85,1.25,13,5.85,1.25,20,5.85,1.25
Madhubani,11,3.73,1.58,0,3.73,1.58,13,3.73,1.58,24,3.73,1.58
Munger,3,3.77,2.58,0,3.77,2.58,12,3.77,2.58,15,3.77,2.58
Muzaffarpur,12,23.74,4.56,0,23.74,4.56,73,23.74,4.56,85,23.74,4.56
Nalanda,10,5.92,3.38,0,5.92,3.38,22,5.92,3.38,32,5.92,3.38
Nawada,3,4.17,1.70,0,4.17,1.70,11,4.17,1.70,14,4.17,1.70
Pashchim Champaran,13,6.84,1.83,1,6.84,1.83,24,6.84,1.83,38,6.84,1.83
Patna,32,40.61,13.90,0,40.61,13.90,139,40.61,13.90,171,40.61,13.90
Purbi Champaran,28,16.51,2.91,2,16.51,2.91,32,16.51,2.91,62,16.51,2.91
Purnia,16,13.53,1.60,0,13.53,1.60,36,13.53,1.60,52,13.53,1.60
Rohtas,4,2.97,1.05,0,2.97,1.05,15,2.97,1.05,19,2.97,1.05
Saharsa,2,4.50,0.66,0,4.50,0.66,22,4.50,0.66,24,4.50,0.66
Samastipur,19,13.65,2.95,0,13.65,2.95,35,13.65,2.95,54,13.65,2.95
Saran,0,12.44,1.60,0,12.44,1.60,54,12.44,1.60,54,12.44,1.60
Sheikhpura,2,1.59,0.11,0,1.59,0.11,3,1.59,0.11,5,1.59,0.11
Sheohar,0,0.26,0.11,0,0.26,0.11,2,0.26,0.11,2,0.26,0.11
Sitamarhi,8,6.04,2.12,0,6.04,2.12,16,6.04,2.12,24,6.04,2.12
Siwan,4,7.25,2.01,0,7.25,2.01,37,7.25,2.01,41,7.25,2.01
Supaul,6,4.88,0.07,0,4.88,0.07,14,4.88,0.07,20,4.88,0.07
Vaishali,12,7.49,1.19,0,7.49,1.19,23,7.49,1.19,35,7.49,1.19
