district,animal_husbandry_and_allied_activities_no,amt,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,1770,220.84,0,220.84,4877,220.84,16317,220.84,749,220.84,1460,220.84,12,220.84,1,220.84,21836,220.84
Arwal,268,31.18,0,31.18,1754,31.18,673,31.18,206,31.18,158,31.18,0,31.18,0,31.18,3327,31.18
Aurangabad,815,240.78,0,240.78,2498,240.78,12247,240.78,1329,240.78,421,240.78,1,240.78,1,240.78,41578,240.78
Banka,1322,121.94,0,121.94,12930,121.94,2616,121.94,652,121.94,284,121.94,25,121.94,0,121.94,18186,121.94
Begusarai,2133,413.1,0,413.1,14377,413.1,11046,413.1,600,413.1,562,413.1,9,413.1,1,413.1,86243,413.1
Bhagalpur,2356,309.86,0,309.86,13127,309.86,5946,309.86,1202,309.86,1503,309.86,0,309.86,0,309.86,37166,309.86
Bhojpur,1325,270.82,0,270.82,5503,270.82,2872,270.82,258,270.82,449,270.82,3,270.82,8,270.82,54480,270.82
Buxar,2346,213.79,0,213.79,5234,213.79,5722,213.79,104,213.79,111,213.79,3,213.79,2,213.79,26286,213.79
Darbhanga,8920,545.21,0,545.21,11493,545.21,12473,545.21,574,545.21,583,545.21,2,545.21,1,545.21,160306,545.21
Gaya,652,398.05,0,398.05,9295,398.05,16359,398.05,849,398.05,920,398.05,2,398.05,3,398.05,52121,398.05
Gopalganj,2448,307.71,0,307.71,7506,307.71,5680,307.71,915,307.71,468,307.71,0,307.71,1,307.71,86750,307.71
Jamui,928,148.73,0,148.73,1693,148.73,1412,148.73,266,148.73,146,148.73,3,148.73,0,148.73,17391,148.73
Jehanabad,881,71.88,0,71.88,1423,71.88,2900,71.88,175,71.88,48,71.88,0,71.88,2,71.88,4987,71.88
Kaimur (Bhabua),1283,116.79,1,116.79,2821,116.79,5861,116.79,103,116.79,70,116.79,1,116.79,19,116.79,16659,116.79
Katihar,1428,416.64,1,416.64,9472,416.64,9503,416.64,1394,416.64,3901,416.64,17,416.64,7,416.64,116347,416.64
Khagaria,2403,151.99,0,151.99,11841,151.99,3281,151.99,270,151.99,879,151.99,12,151.99,0,151.99,20333,151.99
Kishanganj,1067,80.85,0,80.85,3678,80.85,17160,80.85,1223,80.85,694,80.85,0,80.85,0,80.85,3487,80.85
Lakhisarai,1190,50.77,0,50.77,3277,50.77,1158,50.77,71,50.77,125,50.77,10,50.77,0,50.77,8930,50.77
Madhepura,767,251.5,0,251.5,12856,251.5,5632,251.5,267,251.5,316,251.5,14,251.5,1,251.5,85508,251.5
Madhubani,3917,231.37,0,231.37,11042,231.37,16435,231.37,1302,231.37,1748,231.37,1,231.37,5,231.37,59804,231.37
Munger,1002,97.76,0,97.76,5485,97.76,1951,97.76,235,97.76,581,97.76,3,97.76,0,97.76,12393,97.76
Muzaffarpur,31075,787.78,0,787.78,32474,787.78,22405,787.78,1456,787.78,1145,787.78,5,787.78,4,787.78,82867,787.78
Nalanda,2181,183.83,0,183.83,10173,183.83,10600,183.83,362,183.83,521,183.83,2,183.83,7,183.83,26568,183.83
Nawada,1669,98.36,0,98.36,2005,98.36,8631,98.36,192,98.36,198,98.36,0,98.36,3,98.36,18486,98.36
Pashchim Champaran,3980,325.25,0,325.25,7900,325.25,16688,325.25,433,325.25,617,325.25,1,325.25,0,325.25,53211,325.25
Patna,106540,1583.3,2,1583.3,18469,1583.3,11532,1583.3,785,1583.3,1062,1583.3,20,1583.3,9,1583.3,179438,1583.3
Purbi Champaran,4358,499.22,0,499.22,12408,499.22,18649,499.22,770,499.22,787,499.22,0,499.22,1,499.22,75390,499.22
Purnia,1432,334.96,0,334.96,15659,334.96,9789,334.96,1210,334.96,2323,334.96,112,334.96,0,334.96,37403,334.96
Rohtas,713,201.29,0,201.29,6815,201.29,8907,201.29,360,201.29,694,201.29,11,201.29,3,201.29,30198,201.29
Saharsa,693,121.07,0,121.07,9555,121.07,6052,121.07,297,121.07,688,121.07,3,121.07,0,121.07,15179,121.07
Samastipur,5041,514.03,0,514.03,14114,514.03,10122,514.03,402,514.03,944,514.03,29,514.03,1,514.03,53144,514.03
Saran,1991,553.18,0,553.18,10255,553.18,5534,553.18,1168,553.18,926,553.18,0,553.18,12,553.18,150777,553.18
Sheikhpura,1374,77.27,3,77.27,1415,77.27,720,77.27,69,77.27,41,77.27,0,77.27,0,77.27,8890,77.27
Sheohar,1470,100.1,0,100.1,3109,100.1,3907,100.1,58,100.1,405,100.1,0,100.1,3,100.1,3687,100.1
Sitamarhi,5230,329.75,0,329.75,6456,329.75,25067,329.75,618,329.75,277,329.75,1,329.75,1,329.75,23820,329.75
Siwan,12834,305.1,3,305.1,4602,305.1,7531,305.1,876,305.1,862,305.1,0,305.1,2,305.1,59450,305.1
Supaul,715,56.56,0,56.56,2490,56.56,5539,56.56,187,56.56,550,56.56,10,56.56,0,56.56,2724,56.56
Vaishali,3857,353.94,3,353.94,7021,353.94,16688,353.94,905,353.94,814,353.94,210,353.94,87,353.94,27119,353.94
