District,"Animal husbandry
and allied activities No.",Amt.,"Farm Production
organistaion No.",Amt.,Dairy Dev No.,Amt.,"Farm
Mechanisation No.",Amt.,Poultry No.,Amt.,Fisheries No.,Amt.,Rural Godown No.,Amt.,Agri Clinic No.,Amt.,Other No.,Amt.
Araria,1770,14.15,0,0,4877,31.18,16317,78.65,749,9.84,1460,5.93,12,3.54,1,0.02,21836,220.84
Arwal,268,2.61,0,0,1754,13.69,673,17.01,206,2.29,158,1.05,0,0,0,0,3327,31.18
Aurangabad,815,5.42,0,0,2498,16.29,12247,129.83,1329,8.7,421,1.32,1,0,1,0.01,41578,240.78
Banka,1322,16.54,0,0,12930,49.25,2616,21.75,652,3.41,284,2.06,25,0.09,0,0,18186,121.94
Begusarai,2133,25.85,0,0,14377,84.62,11046,127.53,600,9.47,562,2.68,9,1.95,1,0.03,86243,413.1
Bhagalpur,2356,24.14,0,0,13127,65,5946,42.51,1202,12.65,1503,5.8,0,0,0,0,37166,309.86
Bhojpur,1325,9.35,0,0,5503,27.2,2872,72.95,258,2.93,449,1.97,3,3.29,8,0.02,54480,270.82
Buxar,2346,15.25,0,0,5234,15.99,5722,45.84,104,3.31,111,0.79,3,0.37,2,0,26286,213.79
Darbhanga,8920,148.26,0,0,11493,71.18,12473,80.24,574,9.66,583,4.55,2,0.25,1,0,160306,545.21
Gaya,652,5.83,0,0,9295,123.15,16359,186.75,849,6.17,920,4.38,2,0.15,3,0.08,52121,398.05
Gopalganj,2448,36.69,0,0,7506,76.63,5680,56.63,915,18.07,468,4.58,0,0,1,0.03,86750,307.71
Jamui,928,7.77,0,0,1693,19.9,1412,9.06,266,2.73,146,0.82,3,0,0,0,17391,148.73
Jehanabad,881,7.38,0,0,1423,15.84,2900,52.74,175,3.13,48,0.42,0,0,2,0,4987,71.88
Kaimur (Bhabua),1283,9.08,1,0.2,2821,23.09,5861,67.8,103,1.3,70,0.59,1,0.34,19,0.06,16659,116.79
Katihar,1428,15.34,1,0.02,9472,103.73,9503,177.28,1394,22,3901,31.59,17,0.56,7,0.77,116347,416.64
Khagaria,2403,28.26,0,0,11841,71,3281,34.1,270,1.98,879,3.1,12,7.02,0,0,20333,151.99
Kishanganj,1067,11.52,0,0,3678,16.56,17160,71.1,1223,8.03,694,2.61,0,0,0,0,3487,80.85
Lakhisarai,1190,11.65,0,0,3277,22.86,1158,11.56,71,0.92,125,0.91,10,1.04,0,0,8930,50.77
Madhepura,767,4.84,0,0,12856,51.14,5632,43.61,267,4.85,316,2.51,14,1.59,1,0.07,85508,251.5
Madhubani,3917,72.19,0,0,11042,54.73,16435,115.06,1302,23.45,1748,21.84,1,0.01,5,0.01,59804,231.37
Munger,1002,11.39,0,0,5485,30.88,1951,10.39,235,1.88,581,1.76,3,1.33,0,0,12393,97.76
Muzaffarpur,31075,180.72,0,0,32474,182.07,22405,183.04,1456,43.33,1145,6.9,5,9.42,4,0.06,82867,787.78
Nalanda,2181,23.79,0,0,10173,71.76,10600,184.98,362,8.43,521,4.16,2,1.69,7,0.12,26568,183.83
Nawada,1669,11.53,0,0,2005,17.7,8631,141.49,192,3.55,198,1.38,0,0,3,0.01,18486,98.36
Pashchim Champaran,3980,52.14,0,0,7900,76.35,16688,101.78,433,7.33,617,3.72,1,0.27,0,0,53211,325.25
Patna,106540,499.61,2,0.23,18469,192.78,11532,273,785,23.13,1062,8.98,20,26.55,9,0.17,179438,1583.3
Purbi Champaran,4358,53.65,0,0,12408,89.54,18649,118.52,770,16.27,787,3.87,0,0,1,0.02,75390,499.22
Purnia,1432,13.74,0,0,15659,78.2,9789,64.94,1210,20.65,2323,21.16,112,18.94,0,0,37403,334.96
Rohtas,713,6.87,0,0,6815,39.46,8907,100.09,360,4.03,694,2.83,11,6.1,3,0.03,30198,201.29
Saharsa,693,6.99,0,0,9555,55.12,6052,57.47,297,3.51,688,3.9,3,0.29,0,0,15179,121.07
Samastipur,5041,58.2,0,0,14114,92.53,10122,63,402,11.26,944,3.65,29,9.23,1,0,53144,514.03
Saran,1991,35.88,0,0,10255,60.32,5534,67.6,1168,14.04,926,6.24,0,0,12,0.04,150777,553.18
Sheikhpura,1374,11.29,3,0.04,1415,13.64,720,9.32,69,1.82,41,0.92,0,0,0,0,8890,77.27
Sheohar,1470,18.19,0,0,3109,43.73,3907,17.43,58,0.83,405,1.55,0,0,3,0.05,3687,100.1
Sitamarhi,5230,76.86,0,0,6456,63,25067,113.79,618,10.15,277,1.36,1,0.1,1,0.01,23820,329.75
Siwan,12834,118.68,3,0.1,4602,64.44,7531,49.52,876,15.78,862,5.7,0,0,2,0.07,59450,305.1
Supaul,715,12.3,0,0,2490,30.01,5539,46.97,187,2.57,550,2.66,10,0.27,0,0,2724,56.56
Vaishali,3857,65.33,3,0.05,7021,78.07,16688,81.92,905,27.47,814,5.4,210,11.48,87,0.74,27119,353.94
