district,kcc_ah_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,4346,5.84,1680,5.84,36.26,5.84,287,5.84,1680,5.84,36.26,5.84,4633,5.84,1680,5.84,36.26,5.84
Arwal,1889,0.86,112,0.86,5.55,0.86,128,0.86,112,0.86,5.55,0.86,2017,0.86,112,0.86,5.55,0.86
Aurangabad,1574,2.91,199,2.91,11.84,2.91,107,2.91,199,2.91,11.84,2.91,1681,2.91,199,2.91,11.84,2.91
Banka,2432,5.12,1233,5.12,47.48,5.12,165,5.12,1233,5.12,47.48,5.12,2597,5.12,1233,5.12,47.48,5.12
Begusarai,8362,3.69,1272,3.69,14.29,3.69,542,3.69,1272,3.69,14.29,3.69,8904,3.69,1272,3.69,14.29,3.69
Bhagalpur,6290,6.41,2715,6.41,40.54,6.41,407,6.41,2715,6.41,40.54,6.41,6697,6.41,2715,6.41,40.54,6.41
Bhojpur,5472,1.26,549,1.26,9.42,1.26,356,1.26,549,1.26,9.42,1.26,5828,1.26,549,1.26,9.42,1.26
Buxar,4251,0.79,386,0.79,8.52,0.79,280,0.79,386,0.79,8.52,0.79,4531,0.79,386,0.79,8.52,0.79
Darbhanga,4678,10.47,3104,10.47,62.28,10.47,306,10.47,3104,10.47,62.28,10.47,4984,10.47,3104,10.47,62.28,10.47
Gaya,8500,1.01,736,1.01,8.13,1.01,550,1.01,736,1.01,8.13,1.01,9050,1.01,736,1.01,8.13,1.01
Gopalganj,3510,4.33,799,4.33,21.35,4.33,233,4.33,799,4.33,21.35,4.33,3743,4.33,799,4.33,21.35,4.33
Jamui,2819,2.76,1505,2.76,50.03,2.76,189,2.76,1505,2.76,50.03,2.76,3008,2.76,1505,2.76,50.03,2.76
Jehanabad,2506,1.44,452,1.44,16.94,1.44,163,1.44,452,1.44,16.94,1.44,2669,1.44,452,1.44,16.94,1.44
Kaimur (Bhabua),3096,1.63,311,1.63,9.43,1.63,203,1.63,311,1.63,9.43,1.63,3299,1.63,311,1.63,9.43,1.63
Katihar,5908,1.36,640,1.36,10.17,1.36,384,1.36,640,1.36,10.17,1.36,6292,1.36,640,1.36,10.17,1.36
Khagaria,3418,11.29,2813,11.29,77.15,11.29,228,11.29,2813,11.29,77.15,11.29,3646,11.29,2813,11.29,77.15,11.29
Kishanganj,3555,2.02,796,2.02,21.02,2.02,232,2.02,796,2.02,21.02,2.02,3787,2.02,796,2.02,21.02,2.02
Lakhisarai,3374,4.70,1039,4.70,28.90,4.70,221,4.70,1039,4.70,28.90,4.70,3595,4.70,1039,4.70,28.90,4.70
Madhepura,2366,3.43,776,3.43,30.72,3.43,160,3.43,776,3.43,30.72,3.43,2526,3.43,776,3.43,30.72,3.43
Madhubani,6656,1.69,741,1.69,10.45,1.69,433,1.69,741,1.69,10.45,1.69,7089,1.69,741,1.69,10.45,1.69
Munger,4571,3.33,937,3.33,19.25,3.33,297,3.33,937,3.33,19.25,3.33,4868,3.33,937,3.33,19.25,3.33
Muzaffarpur,11993,6.30,3242,6.30,25.40,6.30,771,6.30,3242,6.30,25.40,6.30,12764,6.30,3242,6.30,25.40,6.30
Nalanda,5713,2.69,1023,2.69,16.82,2.69,369,2.69,1023,2.69,16.82,2.69,6082,2.69,1023,2.69,16.82,2.69
Nawada,3013,0.84,270,0.84,8.40,0.84,200,0.84,270,0.84,8.40,0.84,3213,0.84,270,0.84,8.40,0.84
Pashchim Champaran,5865,7.68,2789,7.68,44.66,7.68,380,7.68,2789,7.68,44.66,7.68,6245,7.68,2789,7.68,44.66,7.68
Patna,18523,1.37,1228,1.37,6.23,1.37,1192,1.37,1228,1.37,6.23,1.37,19715,1.37,1228,1.37,6.23,1.37
Purbi Champaran,3941,25.88,4658,25.88,110.90,25.88,259,25.88,4658,25.88,110.90,25.88,4200,25.88,4658,25.88,110.90,25.88
Purnia,4470,1.41,689,1.41,14.47,1.41,292,1.41,689,1.41,14.47,1.41,4762,1.41,689,1.41,14.47,1.41
Rohtas,3748,0.73,237,0.73,5.93,0.73,247,0.73,237,0.73,5.93,0.73,3995,0.73,237,0.73,5.93,0.73
Saharsa,1469,9.38,861,9.38,54.91,9.38,99,9.38,861,9.38,54.91,9.38,1568,9.38,861,9.38,54.91,9.38
Samastipur,6698,9.55,3938,9.55,55.18,9.55,439,9.55,3938,9.55,55.18,9.55,7137,9.55,3938,9.55,55.18,9.55
Saran,8906,1.57,1110,1.57,11.71,1.57,572,1.57,1110,1.57,11.71,1.57,9478,1.57,1110,1.57,11.71,1.57
Sheikhpura,1525,4.43,549,4.43,33.62,4.43,108,4.43,549,4.43,33.62,4.43,1633,4.43,549,4.43,33.62,4.43
Sheohar,1265,19.32,873,19.32,64.38,19.32,91,19.32,873,19.32,64.38,19.32,1356,19.32,873,19.32,64.38,19.32
Sitamarhi,4006,5.25,1466,5.25,34.33,5.25,264,5.25,1466,5.25,34.33,5.25,4270,5.25,1466,5.25,34.33,5.25
Siwan,5017,2.91,866,2.91,16.20,2.91,330,2.91,866,2.91,16.20,2.91,5347,2.91,866,2.91,16.20,2.91
Supaul,1998,1.69,204,1.69,9.55,1.69,138,1.69,204,1.69,9.55,1.69,2136,1.69,204,1.69,9.55,1.69
Vaishali,4918,6.08,1352,6.08,25.79,6.08,324,6.08,1352,6.08,25.79,6.08,5242,6.08,1352,6.08,25.79,6.08
