district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,5913,9.28,2299,9.28,38.88,9.28
Arwal,2573,6.05,375,6.05,14.57,6.05
Aurangabad,2145,6.75,486,6.75,22.66,6.75
Banka,3309,28.13,4407,28.13,133.18,28.13
Begusarai,11388,12.45,5196,12.45,45.63,12.45
Bhagalpur,8558,17.04,5102,17.04,59.62,17.04
Bhojpur,7450,5.10,1333,5.10,17.89,5.10
Buxar,5789,1.53,401,1.53,6.93,1.53
Darbhanga,6367,15.95,3858,15.95,60.59,15.95
Gaya,11574,13.02,2396,13.02,20.70,13.02
Gopalganj,4781,22.36,2492,22.36,52.12,22.36
Jamui,3840,8.03,622,8.03,16.20,8.03
Jehanabad,3411,4.43,368,4.43,10.79,4.43
Kaimur (Bhabua),4221,6.44,558,6.44,13.22,6.44
Katihar,8051,13.48,3760,13.48,46.70,13.48
Khagaria,4656,34.90,4841,34.90,103.97,34.90
Kishanganj,4836,4.91,1103,4.91,22.81,4.91
Lakhisarai,4596,10.58,1427,10.58,31.05,10.58
Madhepura,3222,20.29,2795,20.29,86.75,20.29
Madhubani,9060,8.07,2979,8.07,32.88,8.07
Munger,6230,12.42,2373,12.42,38.09,12.42
Muzaffarpur,16326,16.47,8156,16.47,49.96,16.47
Nalanda,7781,13.48,3608,13.48,46.37,13.48
Nawada,4103,5.41,422,5.41,10.29,5.41
Pashchim Champaran,7987,17.28,4063,17.28,50.87,17.28
Patna,25226,15.15,8401,15.15,33.30,15.15
Purbi Champaran,5370,28.58,5028,28.58,93.63,28.58
Purnia,6094,18.55,4664,18.55,76.53,18.55
Rohtas,5109,11.08,1805,11.08,35.33,11.08
Saharsa,1998,35.73,3448,35.73,172.57,35.73
Samastipur,9118,20.41,6342,20.41,69.55,20.41
Saran,12128,9.27,3654,9.27,30.13,9.27
Sheikhpura,2075,9.15,722,9.15,34.80,9.15
Sheohar,1722,41.84,2084,41.84,121.02,41.84
Sitamarhi,5454,14.88,2650,14.88,48.59,14.88
Siwan,6831,13.59,2297,13.59,33.63,13.59
Supaul,2714,9.34,790,9.34,29.11,9.34
Vaishali,6697,21.45,3273,21.45,48.87,21.45
