District,applications_forwarded_to_banks,loan_disbursed,pending_disbursements,pending_sanctions,loan_applications_rejected_by_banks
Adilabad,1138.0,646.0,26.0,10.0,456.0
Bhadradri Kothagudem,2416.0,1092.0,41.0,99.0,1184.0
Hanumakonda,922.0,444.0,27.0,19.0,432.0
Hyderabad,1988.0,882.0,43.0,223.0,840.0
Jagitial,1957.0,1114.0,34.0,28.0,781.0
Jangoan,981.0,464.0,28.0,22.0,467.0
Jayashankar Bhupalapally,1189.0,623.0,70.0,40.0,456.0
Jogulamba Gadwal,1258.0,411.0,26.0,47.0,774.0
Kamareddy,4128.0,1945.0,240.0,84.0,1859.0
Karimnagar,3932.0,1967.0,87.0,205.0,1673.0
Khammam,3648.0,1486.0,39.0,88.0,2035.0
Kumuram Bheem Asifabad,487.0,327.0,1.0,12.0,147.0
Mahabubabad,213.0,93.0,4.0,1.0,115.0
Mahabubnagar,536.0,251.0,13.0,16.0,256.0
Mancherial,458.0,212.0,5.0,14.0,227.0
Medak,475.0,253.0,13.0,9.0,200.0
Medchal Malkajgiri,320.0,152.0,5.0,22.0,141.0
Mulugu,725.0,238.0,4.0,5.0,478.0
Nagarkurnool,458.0,196.0,18.0,74.0,170.0
Nalgonda,8226.0,3557.0,549.0,307.0,3813.0
Narayanpet,207.0,111.0,6.0,6.0,84.0
Nirmal,2669.0,1311.0,64.0,59.0,1235.0
Nizamabad,4044.0,1900.0,108.0,91.0,1945.0
Peddapalli,2254.0,1267.0,37.0,48.0,902.0
Rajanna Sircilla,1161.0,517.0,15.0,60.0,569.0
Ranga Reddy,1695.0,624.0,57.0,116.0,898.0
Sangareddy,1621.0,968.0,76.0,32.0,545.0
Siddipet,1625.0,767.0,43.0,91.0,724.0
Suryapet,1910.0,1005.0,35.0,31.0,839.0
Vikarabad,297.0,135.0,9.0,27.0,126.0
Wanaparthy,844.0,401.0,30.0,24.0,389.0
Warangal,185.0,88.0,0.0,5.0,92.0
Yadadri Bhuvanagiri,2167.0,914.0,95.0,98.0,1060.0
