District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,54.0,17.0,39.0,110.0
Bhadradri Kothagudem,68.0,120.0,0.0,188.0
Hanumakonda,37.0,20.0,116.0,173.0
Hyderabad,1.0,2.0,1176.0,1179.0
Jagitial,68.0,38.0,29.0,135.0
Jangoan,32.0,33.0,1.0,66.0
Jayashankar Bhupalapally,28.0,25.0,1.0,54.0
Jogulamba Gadwal,21.0,41.0,0.0,62.0
Kamareddy,74.0,65.0,1.0,140.0
Karimnagar,91.0,39.0,91.0,221.0
Khammam,99.0,65.0,97.0,261.0
Kumuram Bheem Asifabad,42.0,15.0,1.0,58.0
Mahabubabad,25.0,50.0,1.0,76.0
Mahabubnagar,51.0,26.0,63.0,140.0
Mancherial,50.0,75.0,7.0,132.0
Medak,60.0,51.0,2.0,113.0
Medchal Malkajgiri,43.0,119.0,543.0,705.0
Mulugu,26.0,13.0,0.0,39.0
Nagarkurnool,49.0,45.0,1.0,95.0
Nalgonda,96.0,48.0,100.0,244.0
Narayanpet,27.0,31.0,0.0,58.0
Nirmal,58.0,36.0,4.0,98.0
Nizamabad,149.0,57.0,88.0,294.0
Peddapalli,43.0,50.0,29.0,122.0
Rajanna Sircilla,41.0,31.0,6.0,78.0
Ranga Reddy,159.0,114.0,592.0,865.0
Sangareddy,90.0,130.0,46.0,266.0
Siddipet,76.0,47.0,40.0,163.0
Suryapet,66.0,59.0,43.0,168.0
Vikarabad,58.0,51.0,3.0,112.0
Wanaparthy,23.0,39.0,1.0,63.0
Warangal,42.0,23.0,74.0,139.0
Yadadri Bhuvanagiri,58.0,56.0,4.0,118.0
