District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,412.0,0.0,0.0,843.15,3.63,7.05,467.0,39.71,38.2,472.1,0.09,0.4,555.0,7.87,84.35,50.61,24.36,94.2,2828.1,735.06,3563.17,282.46,758.11,4603.73,1370.1,2730.87,44.14,0.0,51.5,104.1,22.72,9.33,25.86,6187.34
Bhadradri Kothagudem,683.0,0.0,0.0,871.85,9.7,74.6,1339.0,21.68,82.4,309.92,0.33,10.0,919.0,12.37,381.8,97.98,62.82,41.2,2291.8,1416.09,3707.91,31.41,159.97,3899.28,847.8,4010.5,81.1,0.0,13.0,26.3,3.3,3.24,152.4,4945.28
Hanumakonda,593.0,0.0,0.0,3053.81,18.84,19.6,2810.0,45.18,10.8,977.11,0.0,0.0,752.0,10.2,302.7,75.66,34.79,0.0,2296.9,1513.31,3810.19,99.02,175.81,4085.02,3320.0,6125.54,76.3,0.0,96.0,418.2,105.35,3.37,0.0,8027.94
Hyderabad,359.0,135.67,25.2,83474.34,61.07,7.19,9223.0,1350.63,43.8,11286.81,395.92,72.5,451.0,60.73,62.58,628.99,632.4,61.1,0.0,0.0,0.0,0.0,0.0,0.0,115649.26,87777.25,72.07,537.6,849.25,3083.15,546.13,97.04,1036.0,121798.1
Jagitial,122.0,0.0,0.0,814.48,7.74,19.1,796.0,43.86,30.3,520.3,8.67,16.4,513.0,3.65,11.03,100.45,56.23,59.3,2631.5,2376.96,5008.41,212.2,89.7,5310.31,996.28,4103.97,61.42,9.6,40.63,144.77,52.82,33.09,94.84,6682.34
Jangoan,100.0,0.0,0.0,314.08,3.28,10.6,414.0,17.65,26.2,236.28,0.0,0.0,107.0,1.64,105.8,31.53,7.39,5.6,2532.4,1117.5,3649.89,131.43,80.63,3861.95,483.52,2809.59,61.26,0.0,31.0,67.5,8.48,1.55,132.0,4585.99
Jayashankar Bhupalapally,,0.0,0.0,,1.74,8.88,,9.1,11.6,,0.2,1.04,,0.93,105.7,,14.49,96.6,1221.7,702.13,1923.84,202.53,71.8,2198.18,103.6,1302.38,53.48,0.0,19.6,78.75,19.2,0.88,15.0,2435.21
Jogulamba Gadwal,18.0,0.0,0.0,398.84,3.94,23.5,454.0,18.25,14.7,149.25,0.0,0.0,28.0,0.47,10.11,12.22,12.57,60.2,3051.3,1725.05,4776.39,111.61,109.92,4997.92,606.0,2719.35,46.91,0.0,16.8,124.22,26.3,4.65,20.87,5796.76
Kamareddy,59.0,0.0,0.0,635.25,5.13,12.8,755.0,52.29,33.6,533.83,0.02,0.09,66.0,0.81,20.0,51.26,21.4,535.0,3568.2,1640.0,5208.19,120.68,422.88,5751.75,1102.0,3691.56,52.15,0.0,40.0,155.52,21.81,4.05,4.0,7079.13
Karimnagar,409.0,0.0,0.0,3200.1,14.52,29.3,1652.0,161.52,52.0,1013.94,10.07,49.6,1002.0,9.7,19.03,239.88,128.49,50.4,2622.0,2256.79,4878.75,111.5,222.41,5212.66,3239.4,7319.36,80.04,6.4,49.5,310.5,20.32,50.97,255.0,9144.75
Khammam,909.0,0.0,0.0,2633.84,22.57,23.3,2508.0,125.75,198.0,1313.17,4.28,16.7,1468.0,17.99,110.4,269.27,135.24,155.0,4487.9,3061.51,7549.4,130.74,698.06,8378.19,2968.3,9232.11,79.34,0.0,97.0,63.4,25.6,16.3,87.0,11635.8
Kumuram Bheem Asifabad,32.0,0.0,0.0,201.67,1.35,3.52,166.0,6.43,8.24,55.76,0.0,0.0,63.0,0.77,11.19,10.56,4.48,5.33,1808.9,359.63,2168.52,104.97,260.98,2534.46,296.4,1236.91,40.32,0.0,38.4,78.0,29.63,6.88,84.0,3067.77
Mahabubabad,81.0,0.0,0.0,410.84,3.68,20.4,503.0,14.45,49.1,176.7,0.48,3.95,107.0,1.56,41.27,54.45,28.43,618.0,2412.7,1331.14,3743.87,123.34,43.66,3910.87,851.52,3629.88,75.15,0.0,18.0,29.42,12.14,3.78,4.6,4830.32
Mahabubnagar,121.0,0.0,0.0,1451.4,9.46,44.6,1067.0,69.46,66.8,769.84,1.0,6.94,142.0,1.7,43.26,42.56,29.77,88.6,2643.5,2257.97,4901.45,546.08,514.5,5962.03,2268.95,4288.8,51.01,0.0,21.2,104.0,14.4,3.93,33.6,8408.11
Mancherial,400.0,0.0,0.0,939.61,6.3,4.54,915.0,52.4,19.5,570.76,0.0,0.0,479.0,8.8,64.66,53.63,42.54,84.6,2541.5,922.31,3463.85,249.96,608.84,4322.65,1105.19,2790.87,47.01,0.0,138.75,269.0,37.27,13.61,50.29,5936.76
Medak,12.0,0.0,0.0,596.16,2.43,28.3,443.0,17.07,45.1,261.31,0.01,0.05,14.0,0.2,2.84,178.6,92.89,115.0,2052.5,1183.25,3235.79,141.7,668.64,4046.13,1354.64,3109.67,55.96,0.0,8.6,37.86,21.63,7.03,80.79,5556.68
Medchal Malkajgiri,678.0,0.0,0.0,26577.63,69.02,21.9,7982.0,928.13,70.2,11899.94,1.56,1.36,827.0,13.42,30.31,104.65,83.28,25.6,302.72,1064.03,1366.75,246.31,1383.59,2996.65,23042.33,24900.93,88.42,0.0,315.0,1323.0,114.4,44.28,325.1,28160.71
Mulugu,21.0,0.0,0.0,71.92,1.08,6.35,185.0,1.77,3.44,36.02,0.0,0.0,39.0,0.64,75.29,13.04,8.64,86.4,1024.8,620.57,1645.39,66.1,94.12,1805.62,101.1,1077.91,53.93,0.0,17.0,51.5,12.8,0.85,10.0,1998.87
Nagarkurnool,65.0,0.0,0.0,394.95,3.77,11.3,507.0,26.63,10.1,222.29,0.0,0.0,84.0,1.23,27.58,68.25,54.9,77.8,4137.1,2149.6,6286.69,113.09,152.46,6552.24,856.44,3989.33,51.23,0.0,33.5,262.5,8.0,4.46,70.6,7787.74
