District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,110.0,1412.12,677.84,2588.94,4678.9,2505.54,1137.07,4349.27,7991.88,170.81
Bhadradri Kothagudem,188.0,1448.79,7010.15,0.0,8458.95,2882.25,8627.73,268.94,11778.92,139.25
Hanumakonda,173.0,1036.01,789.41,13358.55,15183.97,2249.15,2191.36,16070.68,20511.19,135.08
Hyderabad,1179.0,10.5,272.2,455608.47,455891.18,170.38,590.4,533621.57,534382.36,117.22
Jagitial,135.0,2201.19,2545.88,2184.18,6931.24,3713.91,3341.71,2923.49,9979.11,143.97
Jangoan,66.0,880.49,1418.86,16.57,2315.92,2663.86,3733.71,97.12,6494.7,280.44
Jayashankar Bhupalapally,54.0,709.64,1377.9,0.0,2087.55,1439.01,1664.84,62.59,3166.44,151.68
Jogulamba Gadwal,62.0,531.75,1742.79,0.0,2274.55,1887.78,3347.71,105.2,5340.69,234.8
Kamareddy,140.0,1546.96,3041.95,25.41,4614.32,3755.87,5458.36,113.71,9327.94,202.15
Karimnagar,221.0,4280.96,2415.1,7991.98,14688.03,5094.04,3057.88,11257.35,19409.27,132.14
Khammam,261.0,2642.58,2480.58,7405.95,12529.1,6221.25,5243.93,14275.35,25740.53,205.45
Kumuram Bheem Asifabad,58.0,1483.48,819.91,18.23,2321.62,1694.4,672.21,81.02,2447.63,105.43
Mahabubabad,76.0,629.19,1964.4,19.56,2613.14,2112.68,5146.86,117.6,7377.15,282.31
Mahabubnagar,140.0,1185.42,981.66,4476.28,6643.35,3144.48,2330.71,7625.02,13100.2,197.19
Mancherial,132.0,2413.26,5723.46,396.35,8533.06,2680.42,6209.01,537.1,9426.53,110.47
Medak,113.0,1179.32,1955.51,11.79,3146.62,2823.52,4175.76,376.47,7375.74,234.4
Medchal Malkajgiri,705.0,3577.42,9914.6,123936.71,137428.73,19570.19,12199.9,150925.12,182695.21,132.94
Mulugu,39.0,817.76,422.43,0.0,1240.2,1410.46,737.83,23.76,2172.04,175.14
Nagarkurnool,95.0,1367.48,1966.2,34.01,3367.69,3399.3,4631.39,138.12,8168.81,242.56
Nalgonda,244.0,2624.56,1693.69,6917.54,11235.8,7679.95,4271.12,14612.45,26563.52,236.42
Narayanpet,58.0,705.32,1249.71,0.0,1955.03,1724.8,2097.68,79.82,3902.3,199.6
Nirmal,98.0,1650.41,1982.38,69.1,3701.89,3634.69,4371.63,403.28,8409.6,227.17
Nizamabad,294.0,3818.91,2747.02,5824.96,12390.89,8571.92,5350.22,9217.45,23139.59,186.75
Peddapalli,122.0,2342.53,2662.68,3257.67,8262.88,2363.91,3947.96,2411.64,8723.52,105.57
Rajanna Sircilla,78.0,1266.41,2350.35,916.71,4533.47,2349.92,2738.42,918.03,6006.37,132.49
Ranga Reddy,865.0,11792.07,6858.82,94462.55,113113.44,12088.19,10712.76,103822.22,126623.16,111.94
Sangareddy,266.0,5531.55,7527.22,6817.99,19876.75,7167.75,19998.04,9750.42,36916.21,185.73
Siddipet,163.0,2089.94,2104.01,2264.43,6458.38,4427.97,3640.8,4212.83,12281.6,190.17
Suryapet,168.0,1686.15,2263.14,2134.88,6084.17,5223.03,5954.15,5529.68,16706.87,274.6
Vikarabad,112.0,1333.91,2325.13,52.19,3711.23,3044.23,4346.94,276.95,7668.12,206.62
Wanaparthy,63.0,530.71,1849.01,24.6,2404.32,1569.54,3646.69,108.51,5324.73,221.47
Warangal,139.0,948.5,809.71,6680.63,8438.84,2811.44,2641.93,8724.49,14177.86,168.01
Yadadri Bhuvanagiri,118.0,1531.23,2764.28,91.83,4387.34,3772.93,5219.66,388.42,9381.01,213.82
