District,Total Non-Priority NPA Amt,Sec Total NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,409.07,304,278.09,213,130.98,91,0,0,0,0,0,0
East Jaintia Hills,518.41,144,235.97,113,44.14,30,238.3,1,0,0,0,0
East Khasi Hills,89448.9,2190,88507.35,1769,640.45,409,281.98,9,18.06,1,1.06,2
Eastern West Khasi Hills,115.15,70,102.36,64,12.79,6,0,0,0,0,0,0
North Garo Hills,436.21,328,215.16,207,220.95,120,0,0,0,0,0.1,1
Ri Bhoi,1121.12,711,987.51,657,89.06,48,43.54,4,0,0,1.01,2
South Garo Hills,193.47,179,93.93,117,99.54,62,0,0,0,0,0,0
South West Garo Hills,304.51,213,240.12,169,64.39,44,0,0,0,0,0,0
South West Khasi Hills,63.97,40,46.84,28,17.13,12,0,0,0,0,0,0
West Garo Hills,1703.6,960,1138.45,650,564.18,306,0,0,0,0,0.97,4
West Jaintia Hills,649.55,290,460.81,182,162.62,107,26.12,1,0,0,0,0
West Khasi Hills,160.51,73,101.45,34,59.06,39,0,0,0,0,0,0
