District,Aadhaar Seeded No.,Rupay Card Activated,Rupay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,1855,14870,25028,891.14,1529,29486,17736,11750,7651,21835
East Jaintia Hills,3253,9723,20134,3539.68,1065,39272,24032,15240,1582,37690
East Khasi Hills,18887,42543,76235,12694.07,8284,146746,86366,60380,52394,94352
Eastern West Khasi Hills,696,5950,14260,2908.05,995,34197,20656,13541,4356,29841
North Garo Hills,1623,25097,40900,959.9,806,44747,25405,19342,3789,40958
Ri Bhoi,5072,13998,36565,3020.19,2580,57844,35053,22791,6436,51408
South Garo Hills,453,8289,12630,503.21,657,17786,10416,7370,3831,13955
South West Garo Hills,1283,21013,37186,1648.38,1226,46416,25106,21310,3542,42874
South West Khasi Hills,79,9919,12726,1114.02,1482,18142,11795,6347,1406,16736
West Garo Hills,13219,73872,141811,4175.85,8259,170430,98522,71908,19216,151214
West Jaintia Hills,4091,12148,32798,4217.71,2276,62506,40816,21690,13840,48666
West Khasi Hills,1621,5745,18391,2702.25,1396,38767,21383,17384,1696,37071
