District,(PS) Amount Msme Target,Msme Target No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,826,493,8.19,120.8,281,1474.52,2464,8.12,244.76,363,3013.92,4837
East Jaintia Hills,4400,2200,11.01,192.33,269,1747.39,2080,11.23,367.17,760,3270.03,2988
East Khasi Hills,53578,7142,22.04,1523.65,2068,6913.4,9734,31.53,3197.03,3694,10139.15,13036
North Garo Hills,414,572,7.84,96.56,299,1232.16,2289,7.51,184.21,422,2453.69,4538
Ri Bhoi,19235.89,10526,13.65,1810.52,2730,13263.65,14625,10.11,2385.03,3496,23583.65,16871
South Garo Hills,585,289,25.1,153.14,272,610,794,26.06,211.57,344,812,903
West Garo Hills,9502,3810,33.81,1226.93,784,3629,6662,30.27,1853.73,1510,6124,11158
West Jaintia Hills,6400,3200,6.3,485.39,665,7707.18,6085,8.01,924.05,1574,11540.39,7348
West Khasi Hills,670,355,13.89,412.12,704,2966.57,2238,13.46,577.81,894,4294.11,2688
