District,Inactive CSP,Rupay Card Active in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,6,18551,18250,4084,729
East Jaintia Hills,16,20891,11467,6089,22
East Khasi Hills,59,94722,67382,69606,4317
Eastern West Khasi Hills,6,11125,4777,864,996
North Garo Hills,2,33185,32820,2009,791
Ri Bhoi,11,28149,18429,6016,8212
South Garo Hills,1,11021,10861,765,66
South West Garo Hills,8,26233,25710,3832,607
South West Khasi Hills,1,11344,1973,91,337
West Garo Hills,25,87222,84449,23760,1257
West Jaintia Hills,21,17632,10829,5790,640
West Khasi Hills,11,12102,5533,2335,2558
