District,Pending,25.08.2022,Sbi
East Garo Hills,Pending,02.09.2022,SBI
East Jaintia Hills,Pending,14.09.2022,SBI
East Khasi Hills,"Fixed
on
28.11.2022",22.09.2022,SBI
Eastern West Khasi Hills,"approved Proposal
not
yet",07.09.2022,PNB
North Garo Hills,Pending,07.09.2022,SBI
Ri Bhoi,Pending,26.08.2022,SBI
South Garo Hills,Pending,25.08.2022,SBI
South West Khasi Hills,Pending,27.10.2022,SBI
West Garo Hills,Pending,08.09.2022,SBI
West Jaintia Hills,Pending,26.08.2022,SBI
West Khasi Hills,"Fixed
on
24.11.2022",20.10.2022,SBI
