District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,2484.69,2323,57.76,15,0,0,174.81,33,2252.12,2275
East Jaintia Hills,6719.4,1970,316.49,107,99.7,15,1915.78,183,4387.43,1665
East Khasi Hills,196737.6,16477,4849.51,199,34819.11,109,31413.52,1127,125655.46,15042
Eastern West Khasi Hills,2517.15,1734,276.09,220,0,0,335.45,22,1905.61,1492
North Garo Hills,1343.96,1085,162.06,33,0,0,29.9,7,1152,1045
Ri Bhoi,51213.9,5793,1154.09,873,21141.59,33,11300.14,357,17618.08,4530
South Garo Hills,937.03,659,116.34,34,0,0,99.33,12,721.36,613
South West Garo Hills,2212.8,1274,168.26,54,0,0,162.34,34,1882.2,1186
South West Khasi Hills,1282.52,704,32.37,16,0,0,56.85,7,1193.3,681
West Garo Hills,14790.86,8980,1167.56,493,191.61,4,2968.05,406,10463.64,8077
West Jaintia Hills,19550.8,5867,603.47,517,10.26,2,7809.34,692,11127.73,4656
West Khasi Hills,3945.9,2274,13.3,7,0,0,576.06,28,3356.54,2239
