District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) cation Edu,A/C (NPS) cation Edu,Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,6162.47,1181,5299.26,947,775.13,226,87.42,7,0,0,0.66,1
East Jaintia Hills,5137.74,1099,4342.64,906,674.09,188,121.01,5,0,0,0,0
East Khasi Hills,193051.16,20787,163204.21,15975,19916.46,4203,7482.48,476,936.73,123,1511.28,10
North Garo Hills,3810.85,763,3449.61,630,271.36,125,87.92,6,0,0,1.96,2
Ri Bhoi,37476.15,5252,33137.75,4415,2170.14,648,2160.24,179,0,0,8.02,10
South Garo Hills,3348.78,512,2945.77,398,192.03,98,207.94,13,0,0,3.04,3
West Garo Hills,19930.65,3878,14793.77,2760,3271.42,987,1860.08,125,0,0,5.38,6
West Khasi Hills,2869.75,632,1955.66,386,881.42,242,32.67,4,0,0,0,0
