District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
East Garo Hills,5341.9,5051,37.84,29,3668.25,1757,70.08,119,1565.73,3146
East Jaintia Hills,4512.38,2482,127.01,111,3488.07,994,189.94,267,707.36,1110
East Khasi Hills,133070.28,27366,8958.81,663,105904,2082,5451.26,3526,12756.21,21095
Eastern West Khasi Hills,4182.07,7203,43,66,845.98,192,263.32,575,3029.77,6370
North Garo Hills,3747.24,5953,15.06,24,1712.65,1880,45.59,58,1973.94,3991
Ri Bhoi,25208.52,33685,2137.46,970,5202.39,2733,1101.1,2582,16767.57,27400
South Garo Hills,2678.82,3124,0,0,1877.59,1361,29.42,67,771.81,1696
South West Garo Hills,4572.17,7569,0,0,2249.36,2485,222.33,622,2100.48,4462
South West Khasi Hills,2215.43,2797,0,0,810.38,304,153.41,181,1251.64,2312
West Garo Hills,13129.99,13256,1213.44,33,7114.58,3433,475.58,1766,4326.39,8024
West Jaintia Hills,20024.14,6200,872.42,164,13301.42,691,2932.57,774,2917.73,4571
West Khasi Hills,5820.53,7132,56.48,115,2252.42,1103,29.46,72,3482.17,5842
