District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Deposits Rural
East Garo Hills,66.1,72.91,66.84,59.83,28123.13,4025.8,18550.49,5546.84,42544.92,5521.96,27752.23,9270.73
East Jaintia Hills,15.95,,16.75,15.45,24968.01,394.39,5010.18,19563.44,156539.91,0,29911.5,126628.41
East Khasi Hills,39.11,39.55,45.38,32.36,880101.13,741468.22,59840.78,78792.13,2250138.43,1874817.21,131865.77,243455.45
North Garo Hills,61.55,,58.71,62.93,20508.94,0,6414.29,14094.65,33320.84,0,10924.99,22395.85
Ri Bhoi,89.54,78.58,36.02,112.62,196406,3636.72,23059.29,169709.99,219344.02,4627.86,64020.92,150695.24
South Garo Hills,49.36,66.88,56.19,34.83,14370.7,2296.85,8233.71,3840.14,29113.27,3434.19,14653.69,11025.39
West Garo Hills,51.2,56.69,50.8,50.58,115252.38,10174.04,72623.39,32454.95,225086.16,17946.81,142971.76,64167.59
West Jaintia Hills,25.7,28.35,27.52,19.26,66699.12,23407.8,30673.81,12617.51,259541.82,82563.84,111477.22,65500.76
West Khasi Hills,36.69,38.54,42.14,22.74,23078.43,3235.84,16177.6,3664.99,62898.63,8396.95,38388.21,16113.47
