district,period,aadhaar_authentication__no_of_aadhaar_seeded_casa,aadhaar_authentication__no_of_authenticated_casa,aadhaar_authentication__no_of_operative_casa,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit,kcc__ah_applications_accepted,kcc__ah_applications_received,kcc__ah_applications_sanctioned,kcc__kcc_insured,kcc__kcc_pending,kcc__total_no_of_kcc,pmjdy__female_no,pmjdy__male_no,pmjdy__no_of_aadhaar_seeded,pmjdy__no_of_rupay_card_issued,pmjdy__rural_no,pmjdy__target_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,sc_st_finance__sc_applications_no,sc_st_finance__sc_disbursement_no,sc_st_finance__sc_sponsored_no,shg__credit_linked_amt,shg__credit_linked_no,shg__savings_linked_amt,shg__savings_linked_no
Ambala,December 2014,,,,49.57,513069.0,1035022.0,,,,,,,,,,,,,,,,,,,,,
Bhiwani,December 2014,,,,71.9,470320.0,578710.0,,,,,,,,,,,,,,,,,,,,,
Faridabad,December 2014,,,,74.07,1688743.0,2280041.0,,,,,,,,,,,,,,,,,,,,,
Fatehabad,December 2014,,,,145.64,341850.0,234729.0,,,,,,,,,,,,,,,,,,,,,
Gurugram,December 2014,,,,62.04,3603650.0,5808187.0,,,,,,,,,,,,,,,,,,,,,
Hisar,December 2014,,,,151.93,1315561.0,865871.0,,,,,,,,,,,,,,,,,,,,,
Jhajjar,December 2014,,,,84.61,471234.0,556952.0,,,,,,,,,,,,,,,,,,,,,
Jind,December 2014,,,,138.52,465357.0,335949.0,,,,,,,,,,,,,,,,,,,,,
Kaithal,December 2014,,,,173.88,500670.0,287948.0,,,,,,,,,,,,,,,,,,,,,
Karnal,December 2014,,,,174.42,1532677.0,878716.0,,,,,,,,,,,,,,,,,,,,,
Kurukshetra,December 2014,,,,84.89,491271.0,578706.0,,,,,,,,,,,,,,,,,,,,,
Mahendragarh,December 2014,,,,53.34,162100.0,303920.0,,,,,,,,,,,,,,,,,,,,,
Nuh,December 2014,,,,89.22,117131.0,131285.0,,,,,,,,,,,,,,,,,,,,,
Palwal,December 2014,,,,78.59,211145.0,268672.0,,,,,,,,,,,,,,,,,,,,,
Panchkula,December 2014,,,,96.35,1619302.0,1680676.0,,,,,,,,,,,,,,,,,,,,,
Panipat,December 2014,,,,132.22,920717.0,696334.0,,,,,,,,,,,,,,,,,,,,,
Rewari,December 2014,,,,48.08,280656.0,583716.0,,,,,,,,,,,,,,,,,,,,,
