district,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti- cated SB accounts,RuPay card issued in KCC
East Garo Hills,4,10640,9374,45135,609
East Jaintia Hills,13,19374,11880,8757,15
East Khasi Hills,169,101120,110167,159569,5391
Eastern West Khasi Hills,5,12206,4352,3769,745
North Garo Hills,1,16776,15443,37604,547
Ri Bhoi,12,28579,13550,27047,7284
South Garo Hills,1,8464,6349,22195,46
South West Garo Hills,10,15479,13661,58472,510
South West Khasi Hills,0,8046,1084,6380,365
West Garo Hills,6,41898,35517,162502,1028
West Jaintia Hills,15,20949,7153,30438,627
West Khasi Hills,8,13732,4958,8340,2424
