district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY No. BURSED DIS- A/C,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,32.8,200.94,109,612.58,224,135.18,57,145.33,44
East Jaintia Hills,2.49,13.35,11,536.67,125,180.85,35,199.84,29
East Khasi Hills,16.98,1203.36,520,7088.25,1552,834.89,161,873.88,152
Eastern West Khasi Hills,8.23,30.14,24,366.41,107,40.26,7,73.44,7
North Garo Hills,24.04,153.48,105,638.42,237,109.16,42,33.88,6
Ri Bhoi,15.37,238,156,1547.99,521,182.14,79,195.23,59
South Garo Hills,31.7,194.47,127,613.39,216,120.78,36,148.05,18
South West Garo Hills,33.33,234.34,118,703.11,264,87.2,31,36.76,7
South West Khasi Hills,10.08,40.23,25,399.11,141,30.21,14,18.92,6
West Garo Hills,26.98,850.5,316,3151.76,851,631.98,133,618.99,125
West Jaintia Hills,6.02,148.82,91,2471.88,640,460.81,116,355.16,75
West Khasi Hills,28.86,163.96,122,568.2,231,47.11,23,66.98,11
