district,(PS) Amount MSME Target,Target MSME No. (PS),Crop Amount Achv% Loan,Crop Amount Achieved Loan,Crop Achieved Loan No.,Crop Target Amount Loan,Crop Target No. Loan,Amount Achv% Agri(PS),Agri Amount Achieved (PS),Agri No. Achieved (PS),get Agri (PS) Amount Tar-,Agri Target No. (PS)
East Garo Hills,3012,1445,3.74,273.28,419,7310,14582,6.09,540,748,8871.2,16766
East Jaintia Hills,7910,605,6.32,90.44,129,1430,1050,8.76,221.53,205,2528,1598
East Khasi Hills,106277,18027,30.59,2235.49,2761,7309,13013,29.06,4461.78,3292,15354,16826
North Garo Hills,2340,1156,8.72,369.75,462,4240,8480,7.01,396.1,542,5648.27,10130
Ri Bhoi,24148,6767,18.38,2214.23,2847,12050.01,17643,14.42,2904.19,3413,20141.18,22888
South Garo Hills,800,660,2.28,84.04,152,3690,3850,2.64,120.82,217,4577,4009
West Garo Hills,15674,2855,11.11,1038.32,697,9343.52,9950,10.66,2143.17,1701,20103.46,21250
West Jaintia Hills,13290,6520,9.16,489.28,580,5340,5210,8.9,665.51,737,7476,6484
West Khasi Hills,1900,540,13.23,469.71,742,3550,3940,10.67,547.25,816,5128,6991
