district,Tot Minority Loan Amt. O/S to,O/S Loan No. Minority to Tot,JAINS Amt.,JAINS No.,ANS Amt. ZORASTRI-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. DHISTS BUD-,No DHISTS BUD-,Amt. MUSLIMS,LIMS No MUS-,TIANS Amt CHRIS-,TIANS No. CHRIS-
East Garo Hills,1312.77,652,0,0,2.36,1,7.26,12,11.84,1,609.39,206,681.92,432
East Jaintia Hills,8491,3948,19.56,2,0,0,5.63,1,2.41,2,1007.53,173,7455.87,3770
East Khasi Hills,133130.06,51396,270.04,31,0,0,1775.8,670,1063.5,184,9607.3,1843,120413.42,48668
North Garo Hills,876.1,465,0,0,0,0,0,0,0.16,1,183.67,41,692.27,423
Ri Bhoi,39355.42,18424,253.1,18,1.5,1,2523.09,38,205.07,37,19512.13,2193,16860.53,16137
South Garo Hills,840.1,551,6.91,1,0,0,0,0,0,0,183.4,40,649.79,510
West Garo Hills,23651.44,12230,3.09,1,0,0,56.66,16,34.64,13,10683.92,3751,12873.13,8449
West Jaintia Hills,43245.21,8876,3.11,2,0,0,8.33,7,21975.41,2,354,77,20904.36,8788
West Khasi Hills,10606.38,6947,0,0,0,0,14.68,7,10.83,7,377.16,164,10203.71,6769
