district,WC A/C Medium,Medium TL Amt,TL A/C Medium,Small WC Amt,Small A/C WC,Small TL Amt,A/C Small TL,Micro WC Amt,Micro A/C WC,Micro TL Amt,A/C Micro TL
East Garo Hills,0,0,0,30.25,2,50.56,2,121.66,56,268.86,119
East Jaintia Hills,0,0,0,625.25,14,91.02,3,1279.31,111,1840.89,176
East Khasi Hills,5,6821.31,23,7977.8,89,6734.74,140,9430.93,998,18059.25,1904
North Garo Hills,0,0,0,26.03,5,1.12,1,212.45,67,427.5,185
Ri Bhoi,3,2877,9,3307.49,14,7879.45,34,2295.59,195,5710.19,282
South Garo Hills,0,0,0,0.06,0,0.18,1,77.72,29,141.32,89
West Garo Hills,0,99.06,3,487.39,11,384.37,20,3172.49,343,2984.24,772
West Jaintia Hills,0,0,0,531.92,4,559.02,50,1459.05,156,1779.25,320
West Khasi Hills,0,0,0,0,0,6.52,11,339.25,134,313.94,120
