district,Tot Disb Amt. Minority,Disb Tot No. Minority,JAINS Amt.,JAINS No.,ANS Amt. ZORASTRI-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,LIMS MUS- No,TIANS CHRIS- Amt,TIANS CHRIS- No.
East Garo Hills,208.96,84,0,0,0,0,0.1,3,0,0,123.73,60,85.13,21
East Jaintia Hills,1383.04,373,0,0,0,0,0,0,0,0,217.51,33,1165.53,340
East Khasi Hills,490136.71,5724,10.82,4,0,0,177.17,92,50.61,21,478231.35,257,11666.76,5350
North Garo Hills,93.56,41,0,0,0,0,0,0,0,0,41.71,9,51.85,32
Ri Bhoi,7529.25,1665,0.23,1,0,0,2388.44,9,0.04,1,3716.2,197,1424.34,1457
South Garo Hills,64.81,25,0,0,0,0,0,0,0,0,2.36,4,62.45,21
West Garo Hills,4162.38,1618,0,0,0,0,0,0,0.02,1,1479.69,463,2682.67,1154
West Jaintia Hills,1886.65,812,0,0,0,0,0,0,0,0,22.26,3,1864.39,809
West Khasi Hills,361026.66,827,0,0,0,0,0,0,2.14,3,360027.75,60,996.77,764
