district,Small Amt,Small No,Micro Amt,Micro No,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Loan Term No,Crop Amt,Crop No
East Garo Hills,13.43,1,432.62,897,2.73,2,421.12,1551,45.93,77,695.43,1580
East Jaintia Hills,171.86,8,741.66,184,26.69,16,128.72,335,28.24,44,47.63,72
East Khasi Hills,1528.16,112,6992.16,3564,306.56,124,1197.66,788,216.84,470,2395.73,4417
Eastern West Khasi Hills,0,0,161.9,101,2.57,2,41.2,91,44.23,113,336.72,823
North Garo Hills,0,0,404.48,622,26.99,11,573.63,1676,21.43,30,1127.1,2395
Ri Bhoi,18.89,7,945.96,758,106.82,174,747.9,1660,143.73,314,7607.55,12759
South Garo Hills,0,0,404.13,473,2.12,2,476.22,1258,43.83,78,310.65,949
South West Garo Hills,0,0,408.96,352,0.88,1,654.05,2054,20.03,56,1077.8,2619
South West Khasi Hills,2.08,1,171.93,81,0,0,92.52,106,8.96,10,111.5,224
West Garo Hills,156.41,5,2228.4,2203,98.57,32,734.86,2949,209.68,470,2027.5,4571
West Jaintia Hills,257.96,39,1682.92,790,149.64,102,273.19,294,27.46,64,761.6,1392
West Khasi Hills,21.99,3,733.37,382,13.45,3,101.03,430,26.54,36,1748.48,2855
