district,MSME Amount Total O/S,No. MSME Total O/S,Other Amt. MSME,Other No. MSME,Medium Amt.,Medium No.,Small Amt.,Small No.,Micro Amt.,Micro No.
East Garo Hills,4168.26,2080,102.03,211,0,0,207.91,56,3858.32,1813
East Jaintia Hills,12701.55,2447,103.27,137,0,0,2033.86,276,10564.42,2034
East Khasi Hills,278035.03,21866,488.94,294,116135.35,1092,51808.53,1500,109602.21,18980
Eastern West Khasi Hills,3375.84,1562,91.52,160,0,0,268.67,13,3015.65,1389
North Garo Hills,2643.9,1729,32.84,9,0,0,44.81,7,2566.25,1713
Ri Bhoi,68998.14,5157,502.99,276,5323.78,36,19791.92,414,43379.45,4431
South Garo Hills,1921.47,1121,45.65,13,0,0,20.16,1,1855.66,1107
South West Garo Hills,3367.22,1425,25.65,11,0,0,355.5,45,2986.07,1369
South West Khasi Hills,2048.03,944,2.91,1,0,0,22.99,7,2022.13,936
West Garo Hills,22709.99,8129,836.13,496,239.13,4,1945.54,241,19689.19,7388
West Jaintia Hills,23638.34,7324,188.91,261,0,0,5247.83,440,18201.6,6623
West Khasi Hills,5175.02,2167,150.83,188,0,0,134.89,8,4889.3,1971
