district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,Amt. Renewable,No. Renewable,Amt. Infra Social,Infra Social No.,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,775.55,1323,203.33,1211,0,0,16.6,6,443.99,70,111.63,36,0,0
East Khasi Hills,49517.83,17832,7178.4,12593,0,0,110.97,35,32013.07,3041,10215.39,2163,0,0
Ri Bhoi,10108.26,2061,438.64,942,371.99,1,9.83,5,8428.8,788,859,325,0,0
West Garo Hills,6128.7,3178,470.75,2220,0,0,81.45,20,4905.98,690,670.52,248,0,0
West Khasi Hills,1550.22,281,62.73,8,0,0,2.61,1,1197.72,142,287.16,130,0,0
