district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Amt Other PS,No Other PS,able Amt Renew-,able No Renew-,Social Amt Infra,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,67.29,41,2.3,12,0,0,13.47,5,44.34,20,7.18,4,0,0
East Jaintia Hills,475.68,22,422.02,10,0,0,3.67,2,33.62,4,16.37,6,0,0
East Khasi Hills,2380.05,1245,1827.77,1126,0,0,42,15,281.46,31,228.82,73,0,0
North Garo Hills,211.91,87,0,0,0,0,14.86,8,182.07,75,14.98,4,0,0
Ri Bhoi,195.05,106,60.41,70,0,0,6.74,3,84.33,13,43.57,20,0,0
South Garo Hills,117.07,46,0,0,0,0,24.74,12,92.33,34,0,0,0,0
West Garo Hills,338.06,75,37.62,17,0,0,31.54,13,256.73,40,12.17,5,0,0
West Jaintia Hills,355.71,73,170.99,28,0,0,16.05,10,116.01,19,52.66,16,0,0
West Khasi Hills,101.57,24,62.73,8,0,0,2.61,1,8.94,3,27.29,12,0,0
