district,no_of_candidates_trained,no_of_training_conducted,of_settlement,own,self_employed_bank,total_settled
Bankura,141.0,5.0,40.0,54.0,2.0,56.0
Birbhum,120.0,5.0,5.0,6.0,0.0,6.0
Cooch Behar,87.0,3.0,15.0,13.0,0.0,13.0
Dakshin Dinajpur,277.0,9.0,0.0,0.0,0.0,0.0
Darjeeling,54.0,3.0,0.0,0.0,0.0,0.0
Hooghly,97.0,4.0,47.0,0.0,46.0,46.0
Howrah,149.0,5.0,32.0,32.0,16.0,48.0
Jalpaiguri,111.0,4.0,0.0,0.0,0.0,0.0
Malda,218.0,7.0,6.0,6.0,7.0,13.0
Murshidabad,125.0,4.0,23.0,29.0,0.0,29.0
Nadia,189.0,7.0,46.0,1.0,85.0,86.0
Paschim Medinipur,84.0,3.0,60.0,1.0,49.0,50.0
Purba Bardhaman,172.0,6.0,0.0,0.0,0.0,0.0
Purba Medinipur,122.0,4.0,27.0,16.0,17.0,33.0
Purulia,133.0,6.0,1.0,1.0,0.0,1.0
Uttar Dinajpur,149.0,6.0,2.0,3.0,0.0,3.0
