district,sep_g,sep_i,shg_credit_linkage
Alipurduar,4.0,24.0,100.0
Bankura,4.0,87.0,477.0
Birbhum,24.0,209.0,995.0
Cooch Behar,24.0,156.0,563.0
Dakshin Dinajpur,15.0,112.0,450.0
Darjeeling,21.0,203.0,380.0
Hooghly,52.0,473.0,1470.0
Howrah,8.0,262.0,300.0
Jalpaiguri,12.0,124.0,375.0
Jhargram,2.0,30.0,150.0
Kalimpong,3.0,30.0,50.0
Kolkata,10.0,100.0,384.0
Malda,8.0,147.0,150.0
Murshidabad,24.0,186.0,895.0
Nadia,32.0,412.0,1285.0
North 24 Parganas,131.0,974.0,3671.0
Paschim Bardhaman,40.0,518.0,600.0
Paschim Medinipur,32.0,303.0,1053.0
Purba Bardhaman,4.0,50.0,707.0
Purba Medinipur,20.0,157.0,721.0
Purulia,16.0,99.0,192.0
South 24 Parganas,24.0,218.0,570.0
Uttar Dinajpur,22.0,126.0,462.0
