district,1858_744,210_245,2448_3559,4308_4343,5426_6555,79_66
Dakshin Dinajpur,1190.0,158.0,1815.0,3211.0,4362.0,74.0
Purulia,605.0,141.0,1152.0,1757.0,3578.0,49.0
