district,cd_ratio_as_on_june,cd_ratio_june_2018_amount_in_rs_crore
Alipurduar,40.0,4202.96
Bankura,39.0,9336.33
Birbhum,36.0,11806.67
Cooch Behar,62.0,6236.89
Dakshin Dinajpur,52.0,3829.74
Darjeeling,42.0,15575.21
Hooghly,30.0,36654.18
Howrah,35.0,28092.16
Jalpaiguri,42.0,12471.07
Jhargram,,3467.25
Kolkata,89.0,305374.04
Malda,51.0,9402.37
Murshidabad,47.0,12064.27
Nadia,44.0,22903.06
Paschim Bardhaman,41.0,30613.04
Paschim Medinipur,40.0,19973.07
Purba Bardhaman,,24461.6
Purba Medinipur,42.0,19973.07
Purulia,41.0,7084.39
Uttar Dinajpur,56.0,5061.76
