district,achievement_as_on_30_06_2018_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2018_19_no
Alipurduar,1137.0,7.7,2314.99,2.04,9.01,12625.0
Bankura,2076.0,6.08,4171.37,2.01,7.28,28497.0
Birbhum,4056.0,10.87,8314.24,2.05,12.05,33668.0
Cooch Behar,2647.0,6.8,5405.45,2.04,8.02,32987.0
Dakshin Dinajpur,611.0,3.9,1301.5,2.13,4.32,14142.0
Darjeeling,130.0,6.58,291.6,2.24,7.05,1844.0
Hooghly,1620.0,7.17,3662.75,2.26,7.92,20447.0
Howrah,1786.0,10.46,4374.71,2.45,10.14,17611.0
Jalpaiguri,2988.0,10.75,6135.85,2.05,13.53,22080.0
Jhargram,1014.0,7.7,1812.2,1.79,11.12,9122.0
Kalimpong,133.0,13.72,300.45,2.26,14.36,926.0
Malda,1629.0,4.01,3274.15,2.01,4.88,33413.0
Murshidabad,6006.0,12.4,11736.37,1.95,14.79,40601.0
Nadia,1489.0,5.71,2881.83,1.94,6.89,21601.0
North 24 Parganas,2351.0,5.7,4981.63,2.12,6.6,35609.0
Paschim Bardhaman,488.0,8.3,987.9,2.02,10.1,
Paschim Medinipur,4832.0,20.21,15715.9,3.25,16.45,29380.0
Purba Bardhaman,3114.0,9.49,7336.54,2.36,10.74,28994.0
Purba Medinipur,6221.0,16.45,14969.32,2.41,16.48,37745.0
Purulia,1121.0,4.89,2165.0,1.93,5.97,18766.0
South 24 Parganas,1800.0,4.03,3399.99,1.89,4.65,38731.0
Uttar Dinajpur,517.0,1.92,1031.0,1.99,2.34,22117.0
